age,black,brthord,educ,exper,feduc,hours,iq,kww,lwage,married,meduc,sibs,south,tenure,urban,wage
38,0,2,10,15,12,40,85,41,6.869014,1,9,1,0,16,1,962
34,0,1,17,7,8,45,120,36,7.338888,1,8,1,0,8,1,1539
33,0,2,12,11,12,52,106,42,7.012115478515625,1,12,5,0,6,0,1110
31,0,2,16,6,12,45,112,41,7.1561765670776363,0,12,2,1,6,1,1282
38,0,2,12,13,8,48,91,39,6.6463904380798338,1,10,1,0,2,1,770
38,0,3,12,16,12,45,90,42,6.907755,1,10,6,0,0,1,1000
38,1,NA,9,17,12,40,86,39,6.7968235015869138,1,NA,2,0,16,0,895
32,1,5,10,13,NA,40,86,32,7.094235,1,8,5,0,0,1,1205
29,0,NA,12,11,12,40,113,27,6.620073,1,12,1,0,10,0,750
38,0,3,13,5,9,50,111,51,6.4831075668334963,1,12,3,0,16,1,654
33,0,1,12,15,12,48,111,30,6.398595,1,12,0,0,3,1,601
28,0,NA,13,10,7,40,106,32,6.39693,1,8,6,0,11,1,600
30,0,1,12,11,11,40,98,28,6.070738,0,12,1,0,10,1,433
30,0,1,12,11,10,40,105,28,7.080027,1,12,3,0,7,1,1188
33,0,2,12,15,NA,40,105,29,6.453625,1,10,2,0,15,0,635
32,0,1,13,9,9,40,118,44,7.110696,1,12,0,0,14,1,1225
36,0,1,12,19,8,45,90,38,7.0483865737915038,1,12,1,0,19,1,1151
32,0,1,12,15,8,40,95,34,6.76273,0,9,3,0,11,1,865
29,0,2,14,9,12,40,112,24,6.938284,1,12,4,0,5,1,1031
32,0,2,12,9,10,55,120,39,6.955593,1,12,3,0,11,1,1049
29,0,3,12,12,10,45,123,41,6.907755,1,12,3,0,1,1,1000
30,0,1,13,10,15,40,103,32,7.007601,1,16,1,0,11,1,1105
35,0,1,18,11,18,50,121,40,7.562161,1,16,3,0,7,1,1924
38,0,1,16,9,12,40,90,44,7.204893,1,12,1,0,16,1,1346
29,0,1,12,11,12,65,125,32,6.695799,1,12,0,0,10,1,809
32,0,1,18,10,8,45,109,34,7.309882,1,9,3,0,3,1,1495
33,0,1,16,10,9,50,128,46,7.204893,0,10,3,0,1,0,1346
31,0,1,12,10,12,40,97,35,7.090077,1,12,3,0,4,1,1200
33,0,4,12,6,12,40,96,35,6.214608,1,12,4,1,0,1,500
28,0,2,12,12,8,45,97,44,7.189168,1,12,1,0,5,1,1325
33,1,1,12,16,6,40,78,21,6.802395,1,7,4,0,5,1,900
34,0,4,12,15,NA,40,112,39,6.684612,1,7,6,0,3,1,800
38,0,2,12,16,5,40,88,32,6.684612,1,2,3,0,7,1,800
36,0,10,12,15,11,40,97,39,6.94119,1,14,14,0,16,1,1034
36,0,NA,12,4,9,40,101,41,6.887553,1,6,1,0,12,1,980
34,0,1,10,19,10,40,106,42,6.784457,1,7,2,0,12,1,884
34,0,1,10,11,6,40,59,28,6.173786,0,8,0,0,5,1,480
34,0,1,18,7,12,40,105,54,6.827629,1,12,1,0,14,1,923
31,0,1,17,8,8,45,119,30,6.240276,0,12,1,0,5,1,513
37,0,2,11,17,8,40,93,36,7.007601,0,8,2,0,16,1,1105
36,0,1,12,19,NA,50,82,38,7.084227,1,12,0,1,10,1,1193
34,0,3,18,6,16,50,134,45,7.926963,1,16,4,0,7,1,2771
30,0,1,12,9,12,40,84,29,6.658011,1,8,0,0,6,1,779
31,0,1,11,13,12,60,98,36,6.856462,1,12,2,0,6,1,950
30,0,1,16,11,12,40,118,41,7.2399325370788575,1,13,2,0,8,0,1394
33,0,3,17,13,8,45,113,50,7.309882,1,12,3,0,9,1,1495
28,0,2,12,4,11,40,100,18,6.476972579956055,1,9,6,0,3,1,650
29,0,NA,13,9,12,40,93,27,6.5072774887084963,1,12,2,0,5,1,670
32,0,1,16,5,10,40,119,30,7.026427,1,12,1,0,8,1,1126
33,1,1,12,11,4,64,67,19,6.109248,0,11,6,0,1,1,450
37,1,4,12,19,NA,40,111,28,6.935370445251465,1,12,3,1,12,1,1028
32,0,1,15,8,12,50,106,38,7.784889,1,12,2,0,0,1,2404
36,0,1,18,9,NA,40,127,49,7.549083,0,10,0,0,14,1,1899
33,0,1,16,10,12,40,113,35,6.629363,1,12,2,0,9,1,757
29,0,2,14,9,12,40,115,36,7.130899,1,12,2,0,1,1,1250
31,0,2,16,8,NA,48,102,40,7.057898,1,12,3,0,11,1,1162
29,1,1,15,9,12,40,85,29,6.932448,1,14,6,0,13,1,1025
32,0,1,16,11,10,50,117,51,7.003066,1,12,0,0,12,0,1100
28,0,1,16,7,10,35,125,34,6.570883,1,10,4,0,5,1,714
37,0,1,16,16,12,35,118,47,7.183871,1,8,1,0,17,0,1318
38,0,2,18,14,16,45,121,40,7.252054,1,12,3,0,3,1,1411
38,0,1,17,4,12,40,115,51,7.678789,1,12,1,0,4,1,2162
36,0,1,14,11,NA,55,120,44,7.149132,1,12,1,0,16,0,1273
35,0,2,12,16,6,48,109,43,7.0387835502624513,1,11,2,0,15,1,1140
30,0,NA,13,7,11,40,109,28,6.359574,0,12,1,0,4,1,578
38,0,5,12,7,NA,40,85,36,6.848005,1,NA,4,0,10,1,942
38,0,1,12,17,NA,40,85,50,6.964136,1,12,4,0,8,0,1058
29,0,2,14,9,10,40,106,32,6.620073,1,11,1,0,9,1,750
30,0,1,12,11,10,60,101,30,6.907755,1,10,3,0,6,1,1000
30,0,5,12,9,9,60,116,40,6.857514,1,12,4,0,7,1,951
31,0,2,12,13,7,47,91,24,6.453625,1,7,2,0,2,1,635
34,0,1,12,13,5,40,91,28,7.130899,1,11,3,0,1,1,1250
34,0,1,12,6,NA,40,110,34,6.514713,1,7,2,0,15,1,675
32,0,NA,12,11,12,40,75,33,5.9914646148681638,1,7,4,0,6,1,400
29,0,NA,12,9,8,50,94,17,6.357842445373535,1,12,2,0,8,1,577
29,0,2,13,10,12,40,109,27,6.380123,1,12,2,0,7,0,590
31,0,2,16,10,8,50,122,38,6.827629,1,8,1,0,10,0,923
32,0,2,12,6,8,50,102,26,7.130899,0,11,4,0,2,1,1250
33,0,3,14,11,10,40,122,38,7.003066,1,8,2,0,8,1,1100
37,0,2,12,18,10,50,105,38,7.029973,1,10,4,0,2,1,1130
36,0,2,12,14,9,50,113,37,6.480044,0,9,1,0,4,1,652
30,0,2,12,6,12,42,104,34,6.426488399505615,1,8,3,0,2,1,618
34,0,2,16,7,11,50,124,43,6.869014,1,9,2,0,14,1,962
32,0,1,13,14,8,40,110,31,6.2709884643554688,1,12,1,0,11,0,529
33,0,1,12,16,12,40,95,37,6.705639,1,12,2,0,14,0,817
32,0,1,16,8,NA,40,120,39,6.869014,1,18,0,0,9,0,962
38,0,1,12,19,8,40,105,39,6.733402,1,12,3,0,15,0,840
28,0,NA,16,7,12,40,121,30,6.763885,1,12,1,0,4,0,866
36,0,5,14,1,10,50,96,42,7.784889,1,8,5,0,1,1,2404
32,0,1,12,16,12,40,110,26,7.026427,1,9,6,0,2,1,1126
31,0,1,12,8,11,40,92,32,7.056175,1,12,4,0,8,0,1160
38,0,1,12,15,NA,40,98,34,6.583409,1,9,1,0,5,1,723
36,0,1,16,14,12,40,109,43,7.483244,1,11,0,0,13,1,1778
36,0,1,18,13,11,48,118,44,7.551187,1,11,0,0,5,0,1903
34,0,5,18,7,NA,40,97,42,6.9177055358886725,1,14,4,0,14,1,1010
37,0,2,17,5,8,40,95,42,6.878326416015625,1,16,1,0,11,1,971
34,0,1,12,9,8,40,99,40,6.263398,1,10,2,0,2,1,525
30,0,1,12,12,12,40,106,31,6.263398,1,10,1,0,13,0,525
30,0,2,12,10,NA,45,117,33,6.5072774887084963,1,12,5,0,3,0,670
37,0,1,12,19,6,45,90,47,6.214608,1,12,0,0,4,0,500
34,0,3,14,14,NA,45,98,45,6.964136,1,NA,2,0,15,0,1058
35,0,1,12,18,11,46,95,44,6.3099184036254888,1,12,1,0,15,1,550
32,0,2,12,14,11,45,115,43,6.214608,1,12,1,0,1,1,500
31,0,NA,15,10,12,55,106,40,6.588926,0,12,1,0,5,1,727
30,0,3,12,6,8,40,114,26,6.76273,1,8,2,0,8,0,865
30,0,4,13,8,10,40,92,34,6.985642,1,12,3,1,2,1,1081
31,0,1,17,9,12,45,119,36,7.1731915473937988,1,13,1,0,9,0,1304
30,0,2,13,6,12,40,85,32,6.35437,1,13,1,0,1,0,575
30,0,1,16,7,12,45,98,34,6.43454647064209,1,12,3,0,1,0,623
28,0,2,13,8,12,45,114,30,6.244167,1,12,3,0,10,0,515
37,0,1,18,14,12,55,84,42,7.149132,1,8,1,0,4,1,1273
33,0,1,13,13,16,40,108,42,6.897705,1,16,4,0,9,0,990
33,0,6,12,16,4,40,107,32,6.39693,1,8,5,0,6,0,600
38,0,2,12,17,12,40,84,35,7.056175,1,16,4,0,2,0,1160
29,0,5,12,11,12,55,86,22,6.214608,1,10,5,0,9,0,500
35,0,2,12,17,12,45,88,27,6.678342,1,10,2,0,18,0,795
37,0,1,11,20,NA,50,97,34,6.214608,1,NA,2,0,3,0,500
38,0,1,10,23,9,50,84,31,6.60665,1,NA,5,0,13,0,740
33,0,1,16,10,14,40,117,45,7.130899,1,12,1,0,7,1,1250
30,0,2,16,13,14,55,110,42,6.921658,0,12,1,0,9,1,1014
33,0,3,13,13,NA,32,104,32,7.130899,1,9,3,0,3,1,1250
29,0,4,14,4,NA,40,110,26,6.816736,1,9,3,0,13,1,913
30,0,NA,16,9,12,40,99,33,7.204893,1,11,2,0,8,1,1346
38,0,5,10,19,NA,40,80,31,6.0980744361877438,1,NA,5,0,0,0,445
37,0,2,12,18,NA,40,101,43,5.5797299999999994,1,NA,1,0,2,1,265
28,0,2,14,7,12,40,117,31,7.130899,1,12,1,0,1,1,1250
36,0,1,13,7,NA,56,108,41,7.382124,1,NA,2,0,9,1,1607
38,1,6,16,12,10,35,69,33,7.280697,1,10,7,0,15,1,1452
32,1,2,12,14,9,50,109,38,7.237778,1,11,1,1,8,1,1391
32,0,6,16,8,8,45,85,39,6.710523,1,8,5,0,2,1,821
29,0,2,16,9,9,40,114,36,6.6770834922790525,1,11,1,0,7,1,794
38,0,3,13,10,NA,30,90,46,6.214608,1,NA,4,0,1,0,500
29,0,1,18,6,14,50,107,30,6.253829,1,12,10,0,3,0,520
37,0,2,18,12,8,50,117,41,7.455877,1,12,1,0,12,1,1730
38,0,1,18,9,18,50,112,47,7.562161,1,16,6,0,10,1,1924
37,0,3,18,10,18,60,106,46,7.0518555641174313,1,14,3,0,2,1,1155
31,0,1,15,9,17,40,116,38,7.678789,1,12,2,0,4,1,2162
31,0,2,14,8,NA,50,123,44,6.827629,1,8,1,0,7,1,923
33,0,1,16,12,NA,40,118,40,7.01661,1,8,1,0,13,1,1115
30,0,NA,12,7,NA,36,91,20,6.107023,0,NA,1,0,2,1,449
34,0,3,12,10,7,40,103,29,7.313220500946045,1,12,2,0,11,1,1500
37,0,4,14,20,6,40,114,40,6.716595,1,8,4,0,3,1,826
35,0,2,12,16,6,40,102,36,6.842683,1,12,3,0,8,1,937
36,0,6,12,19,NA,48,104,36,6.8855094909667975,1,6,5,0,15,1,978
33,0,6,14,14,12,40,112,43,6.938284,0,14,6,0,12,1,1031
30,0,3,12,10,12,40,107,39,7.148346,1,12,4,0,1,1,1272
34,0,3,14,16,12,50,117,36,7.035269,1,12,2,1,12,1,1136
36,0,8,12,19,NA,45,110,36,6.684612,1,NA,7,0,12,1,800
33,0,1,12,8,11,38,96,42,7.199678,1,12,0,0,9,1,1339
32,1,2,12,14,12,40,90,38,6.968851,1,8,2,0,12,1,1063
29,0,2,12,10,7,44,97,27,6.840547,1,8,2,0,6,1,935
38,1,1,12,18,8,40,99,40,6.694562,1,9,0,0,13,1,808
30,0,2,10,12,5,40,99,29,5.926926,1,8,3,1,2,0,375
31,1,1,12,14,NA,40,97,32,6.285998,0,11,2,0,8,1,537
29,1,2,12,11,NA,55,95,40,6.9865665435791013,1,11,2,0,4,1,1082
31,0,NA,14,10,NA,40,126,44,6.8351845741271975,0,8,3,0,1,1,930
38,0,3,17,13,8,40,109,49,7.0518555641174313,1,12,3,0,4,0,1155
33,1,2,11,7,NA,40,86,22,6.306275,1,11,5,0,0,1,548
33,0,1,16,12,12,45,119,48,6.43294,1,12,0,0,1,1,622
29,0,1,16,10,12,40,102,38,6.7345914840698238,1,12,3,0,1,1,841
38,0,3,18,7,5,55,105,45,6.645091,0,9,2,0,15,1,769
29,0,3,17,8,NA,38,117,40,6.375025,1,12,3,0,5,0,587
38,0,1,16,17,12,45,112,40,7.562161,1,12,1,0,18,1,1924
29,0,NA,12,7,6,40,89,28,6.964136,1,8,2,0,3,1,1058
28,0,2,12,7,6,48,131,39,6.033086,0,12,1,0,1,1,417
28,0,3,16,6,16,48,114,28,7.091742,1,16,3,0,6,1,1202
37,0,NA,14,18,14,40,98,35,7.05099,1,10,1,0,2,1,1154
32,0,1,13,4,NA,40,124,41,6.975414,1,NA,0,0,9,1,1070
29,0,3,14,10,12,40,125,30,7.091742,1,12,2,0,11,1,1202
36,0,NA,18,13,16,45,100,38,6.566672,1,10,1,0,3,1,711
31,1,1,14,6,9,40,84,21,7.091742,1,11,2,0,5,1,1202
28,0,2,12,7,12,43,113,26,6.745236,1,8,1,0,3,1,850
35,0,2,16,13,12,40,102,46,6.907755,1,10,6,0,11,1,1000
31,0,NA,18,7,9,49,82,33,6.1944055557250975,0,12,2,0,8,1,490
35,0,1,14,15,10,40,112,47,6.907755,1,12,4,0,4,1,1000
31,0,5,16,11,5,40,111,38,6.76273,1,8,4,1,4,1,865
30,0,1,13,3,8,40,96,24,7.226209,1,11,3,0,3,1,1375
37,0,4,16,16,16,40,127,48,7.36897,1,16,4,0,12,1,1586
37,0,1,15,14,NA,65,97,47,7.379008,1,8,1,0,14,1,1602
36,0,2,14,12,NA,65,120,50,8.032035,1,12,1,1,13,1,3078
35,0,4,16,7,14,40,101,41,6.80017,0,16,3,0,9,1,898
37,0,1,14,16,12,40,120,40,6.809039,1,12,5,0,2,1,906
31,1,1,13,10,10,40,99,34,6.858565,1,8,1,0,10,1,952
29,1,5,13,10,9,40,78,33,6.347389,0,8,5,0,1,1,571
32,0,2,12,15,11,45,110,23,6.0980744361877438,0,5,2,0,13,1,445
30,0,3,12,9,11,40,94,35,5.6664266586303713,1,5,2,0,0,1,289
37,0,2,16,12,13,40,120,50,7.275172,1,17,1,0,15,1,1444
36,0,1,12,19,8,55,108,45,6.869014,1,8,3,0,21,1,962
33,0,3,12,17,11,40,103,31,6.980076,1,11,13,0,10,1,1075
35,0,3,11,17,NA,55,97,39,6.812345,1,NA,7,0,5,1,909
35,0,1,12,14,13,40,106,36,7.130899,1,11,4,0,19,1,1250
29,1,5,11,10,NA,40,99,22,6.4297194480896,1,NA,11,0,5,1,620
37,1,9,10,14,NA,40,72,18,6.923629,1,11,8,0,15,1,1016
37,1,1,10,21,8,40,88,29,6.684612,1,11,8,0,14,1,800
37,0,2,16,7,13,40,119,37,6.956545,0,12,2,0,18,1,1050
36,0,5,12,18,NA,50,87,33,6.98379,1,8,5,0,9,1,1079
34,0,2,17,12,12,50,121,49,6.4831075668334963,1,11,1,0,13,1,654
30,0,2,12,8,8,50,112,33,6.660575,1,12,2,0,10,1,781
36,0,1,15,8,15,48,103,36,6.945051,1,12,2,1,2,0,1038
37,0,1,16,16,18,50,99,48,7.562161,1,16,0,0,14,1,1924
37,0,2,15,15,12,40,101,40,7.091742,1,12,3,0,17,1,1202
32,0,1,15,8,NA,70,117,34,6.50129,1,NA,0,0,2,1,666
36,0,4,14,11,8,45,109,41,6.807935,1,8,3,0,14,1,905
31,0,1,12,6,12,70,73,46,6.791222,1,12,3,0,8,1,890
31,0,2,16,10,16,40,116,27,6.705639,1,16,1,1,7,0,817
29,0,2,12,10,12,40,98,42,6.6995005607604975,0,12,3,0,2,1,812
30,0,3,14,6,12,60,104,43,6.357842445373535,1,14,2,1,2,1,577
31,0,2,14,9,12,40,78,29,6.628041,1,12,2,0,2,1,756
37,0,1,12,20,NA,40,104,43,6.9186954498291013,1,NA,0,1,7,1,1011
34,0,1,12,14,12,45,85,39,7.0518555641174313,1,12,2,0,1,1,1155
29,0,4,12,12,10,40,104,25,6.932448,1,12,3,0,7,1,1025
35,0,3,12,17,NA,40,107,37,7.20786,1,NA,2,0,12,0,1350
37,0,1,12,20,10,40,109,48,6.908755,1,8,1,0,22,1,1001
37,1,1,13,16,NA,48,119,31,6.679599,1,11,7,0,15,1,796
30,0,2,13,11,11,50,96,33,7.1147694587707525,1,10,3,0,12,1,1230
30,0,NA,12,13,NA,40,93,31,6.6253924369812013,1,NA,5,0,1,1,754
37,0,3,12,17,12,40,90,32,6.570883,1,12,5,0,1,0,714
32,0,4,15,8,NA,45,103,29,6.907755,1,12,3,0,3,1,1000
33,0,1,16,12,12,40,106,41,7.633853,1,14,2,1,13,1,2067
30,0,2,16,11,12,40,96,32,6.81564,1,14,2,0,5,1,912
30,0,3,12,8,8,40,114,39,6.39693,1,8,6,1,5,1,600
31,0,4,11,13,NA,40,86,33,6.857514,1,9,3,0,1,1,951
32,0,2,16,8,12,45,110,38,6.566672,1,13,3,1,5,1,711
38,0,1,12,18,12,48,87,41,7.0483865737915038,1,12,2,0,9,1,1151
28,0,3,12,9,12,40,89,31,6.907755,1,13,2,0,5,1,1000
31,0,6,12,15,NA,44,106,40,6.7345914840698238,1,8,5,0,10,1,841
32,0,2,12,12,8,70,100,43,5.9914646148681638,1,5,3,0,3,1,400
34,0,1,12,17,4,45,111,38,7.069024,1,16,0,0,14,1,1175
37,0,1,12,18,12,40,100,40,7.091742,1,12,0,0,2,1,1202
33,0,3,12,16,10,40,114,38,7.273786544799805,1,12,2,0,17,1,1442
34,0,2,18,5,NA,55,98,45,6.2878584861755375,1,13,2,0,1,1,538
30,0,1,11,13,8,40,89,24,6.660575,1,9,3,0,10,1,781
30,0,2,10,13,9,60,74,23,6.620073,1,11,4,0,9,1,750
37,1,1,18,13,12,48,110,37,6.7345914840698238,0,12,1,0,1,1,841
38,0,2,13,14,14,50,130,29,6.55108,1,11,1,0,1,1,700
36,0,2,16,9,10,50,108,51,7.204893,1,12,1,0,4,1,1346
33,0,4,12,16,8,45,98,31,6.684612,1,10,3,0,12,0,800
30,0,1,16,9,NA,40,125,27,7.130899,1,16,3,0,10,1,1250
29,0,1,16,5,12,40,104,29,7.007601,1,12,3,0,8,1,1105
30,0,1,14,12,10,52,98,33,6.163315,0,8,6,0,1,1,475
33,0,1,15,6,12,58,104,37,6.635947,1,11,2,0,4,0,762
36,0,NA,12,18,8,40,120,33,6.869014,1,8,3,0,19,1,962
30,0,3,13,9,8,40,134,38,6.580639,0,8,3,1,9,1,721
34,0,1,9,18,8,50,92,28,6.684612,1,8,0,0,13,1,800
30,0,1,16,11,16,40,129,34,6.489205,1,13,2,0,9,1,658
36,0,1,14,4,12,40,118,42,7.146772,1,12,2,0,16,1,1270
28,0,NA,12,11,NA,40,107,37,7.18007,1,12,1,0,7,0,1313
38,0,1,12,19,11,42,92,37,6.7141704559326175,1,12,1,0,15,1,824
29,0,1,16,6,12,40,118,33,7.273786544799805,1,16,2,0,7,1,1442
31,0,1,17,7,14,42,108,38,7.244227,1,12,2,0,3,1,1400
36,0,3,12,20,8,50,119,42,6.945051,1,12,3,0,5,0,1038
29,0,3,12,11,7,43,109,29,6.504288,1,8,2,0,12,0,668
36,0,3,12,18,8,40,91,41,7.003066,1,8,2,0,10,0,1100
30,0,1,14,9,10,45,118,38,6.907755,1,12,3,0,7,1,1000
30,0,1,13,9,NA,43,119,37,6.2595815658569338,1,14,4,0,2,0,523
