inlf,hours,kidslt6,kidsge6,age,educ,wage,repwage,hushrs,husage,huseduc,huswage,faminc,mtr,motheduc,fatheduc,unem,city,exper,nwifeinc,lwage,expersq
1,336,0,4,31,12,0.7143,0.00,2045,37,17,9.1687,19870,0.6915,7,7,11.0,0,13,19.630000,-0.336452,169
1,1216,0,1,45,12,2.7961,2.90,1928,44,12,6.4834,16225,0.7215,7,7,11.0,0,22,12.824940,1.028226,484
1,988,0,1,45,12,4.8583,4.50,1920,44,10,7.8125,28600,0.6915,7,3,5.0,1,24,23.800000,1.580689,576
1,2581,0,2,32,13,1.7435,2.60,2280,37,17,11.4040,30800,0.5815,14,12,7.5,1,2,26.300030,0.555895,4
1,2030,0,0,47,12,2.4631,2.80,2300,47,17,5.0870,25700,0.6915,7,7,3.0,0,6,20.699910,0.901421,36
1,413,0,2,34,13,2.4213,3.00,2480,35,13,6.9758,27000,0.6215,12,12,3.0,0,2,26.000000,0.884305,4
1,782,0,1,37,12,1.5345,2.30,1135,34,10,5.2863,12077,0.7715,12,7,9.5,1,2,10.877020,0.428205,4
1,1388,0,1,36,12,2.8818,1.87,1384,39,12,11.5620,29612,0.6615,7,7,11.0,0,14,25.612060,1.058415,196
1,1450,1,2,47,12,2.4069,3.00,1848,50,14,8.6061,24479,0.6915,7,10,9.5,1,9,20.988990,0.878340,81
1,1720,0,1,48,16,5.2326,4.68,2499,46,17,12.8050,79750,0.4415,14,14,7.5,1,11,70.749930,1.654908,121
1,800,0,2,42,12,3.7500,2.50,2390,43,12,6.6946,20050,0.6915,12,7,11.0,0,9,17.050000,1.321756,81
1,360,0,3,33,13,1.3889,0.00,2400,44,14,8.3333,21500,0.6915,10,12,11.0,1,6,21.000000,0.328512,36
1,2000,0,0,46,11,4.0000,4.61,1920,53,8,4.1667,16120,0.6915,7,7,5.0,0,19,8.120000,1.386294,361
1,1176,0,3,47,12,3.2313,3.35,2301,48,13,5.4759,24686,0.7215,7,7,9.5,0,26,20.885990,1.172885,676
1,2058,0,1,44,12,3.4014,3.80,1944,43,10,5.1440,24669,0.6915,7,10,9.5,1,19,17.668920,1.224187,361
1,900,0,4,36,12,1.3333,2.20,2100,37,17,11.6670,26400,0.6615,7,7,7.5,1,3,25.200030,0.287657,9
1,215,2,0,31,17,9.3023,9.98,1920,32,16,7.2917,16245,0.7215,12,12,7.5,1,7,14.245010,2.230262,49
1,2000,0,0,55,14,4.5000,4.37,2880,55,14,4.8611,23300,0.6615,7,7,9.5,1,28,14.300000,1.504077,784
1,757,0,1,45,16,4.6235,4.50,1932,48,16,12.1640,27200,0.6215,12,7,9.5,1,13,23.700010,1.531152,169
1,1264,0,0,47,17,3.9557,0.00,3234,48,17,10.8230,51000,0.4615,10,17,9.5,1,9,46.000000,1.375158,81
1,2064,0,3,46,12,5.8140,6.00,2805,47,12,12.4780,55000,0.4615,10,7,14.0,1,15,42.999900,1.760269,225
1,1280,0,0,49,11,0.5000,0.00,2272,52,9,6.1620,15389,0.7215,7,7,7.5,1,20,14.749000,-0.693147,400
1,1715,0,0,49,12,4.0816,3.75,2227,52,14,7.1846,23150,0.6615,7,7,9.5,1,29,16.150050,1.406489,841
1,2000,0,2,45,12,6.0000,4.95,1720,49,6,7.0930,29774,0.6215,7,10,14.0,1,9,17.774000,1.791759,81
1,12,1,3,38,17,3.6667,0.00,2300,38,13,17.8260,91044,0.4415,12,10,14.0,1,1,91.000000,1.299292,1
1,1528,0,0,47,10,3.8613,2.95,3410,50,12,6.3930,28200,0.5815,7,12,14.0,1,8,22.299930,1.351004,64
1,561,0,3,54,13,2.7629,2.53,2304,57,16,11.7190,36150,0.5515,7,7,9.5,1,19,34.600010,1.016281,361
1,2058,0,0,41,11,2.9310,2.90,1984,42,12,4.7883,15652,0.7215,12,12,7.5,0,23,9.620002,1.075344,529
1,1823,0,2,43,12,4.3884,4.20,1890,33,14,4.2328,18900,0.7515,14,7,11.0,0,3,10.899950,1.478965,9
1,1680,1,1,31,16,5.4167,4.70,1970,32,12,7.1066,23600,0.6615,12,10,7.5,0,13,14.499940,1.689487,169
1,1440,0,0,47,17,9.8611,7.10,2400,46,12,8.3333,36200,0.6100,7,7,7.5,1,8,22.000020,2.288598,64
1,4950,0,2,35,12,0.1616,2.75,2504,37,12,6.9888,18700,0.6915,10,10,7.5,0,17,17.900080,-1.822631,289
1,1176,0,3,45,16,0.3826,3.75,2398,48,17,9.5913,24125,0.6615,7,7,11.0,1,4,23.675060,-0.960765,16
1,1100,1,0,33,12,3.6364,3.58,1960,39,12,6.0204,15800,0.7215,7,7,7.5,0,15,11.799960,1.290994,225
1,1516,0,1,54,16,2.3747,2.40,2550,55,12,2.9686,19742,0.7215,12,7,3.0,0,11,16.141950,0.864871,121
1,900,0,4,35,8,4.6667,3.95,2500,41,12,7.0000,22600,0.6915,10,7,9.5,0,7,18.399970,1.540452,49
1,1080,1,2,31,12,1.8519,2.25,2164,37,10,7.1627,17500,0.7215,7,7,7.5,0,0,15.499950,0.616212,0
1,480,0,0,55,12,5.2000,0.00,2640,60,12,4.7364,19820,0.6915,7,7,7.5,0,0,17.324000,1.648659,0
1,288,0,2,34,12,3.2986,4.62,1936,36,12,8.7810,20155,0.6915,12,16,11.0,1,10,19.205000,1.193498,100
1,1875,0,1,38,13,8.5333,8.50,2136,41,12,9.8315,37300,0.5800,10,12,7.5,1,8,21.300060,2.143976,64
1,630,0,1,45,11,2.0635,0.00,1955,51,10,6.6496,24860,0.7215,7,7,7.5,1,2,23.560000,0.724404,4
1,234,0,1,47,12,2.5641,2.50,1980,48,10,9.8485,21450,0.6615,12,3,7.5,1,4,20.850000,0.941608,16
1,1600,0,2,39,12,2.1875,0.00,2550,42,11,9.8039,29650,0.6215,7,7,5.0,1,6,26.150000,0.782759,36
1,960,1,0,36,14,6.2500,0.00,2058,37,13,8.2604,23000,0.6615,7,7,11.0,1,18,17.000000,1.832582,324
1,120,1,2,33,12,3.3333,0.00,2263,32,14,9.0676,21120,0.6915,7,7,9.0,1,3,20.720000,1.203963,9
1,2025,0,0,50,12,4.4444,4.80,1763,54,13,8.5082,26000,0.6215,7,12,5.0,1,22,17.000090,1.491645,484
1,1809,0,0,58,12,6.6335,6.45,2096,59,14,7.1565,28000,0.6215,3,7,7.5,1,33,16.000000,1.892133,1089
1,3087,0,0,49,17,8.4224,9.98,2059,47,13,7.0423,45500,0.5200,12,12,11.0,1,28,19.500050,2.130895,784
1,910,0,2,41,14,4.3956,0.00,1820,40,17,6.5934,16000,0.7215,16,12,14.0,1,23,12.000000,1.480604,529
1,1840,0,1,51,12,2.4457,2.50,2832,53,8,4.3457,18232,0.6915,7,14,11.0,0,27,13.731910,0.894331,729
1,784,0,0,53,9,1.2245,2.25,1990,60,10,7.2362,28160,0.7215,3,7,14.0,1,11,27.199990,0.202533,121
1,400,1,2,36,12,1.6250,0.00,2000,40,7,1.7400,5965,0.8015,12,7,11.0,1,6,5.315000,0.485508,36
1,1000,0,2,46,12,3.0000,5.50,1885,46,12,6.8966,19000,0.7215,7,7,9.5,1,11,16.000000,1.098612,121
1,1904,0,2,36,12,4.7269,4.20,2860,37,12,5.0455,36872,0.5515,12,12,11.0,1,14,27.871980,1.553270,196
1,1771,0,1,53,14,1.1293,9.98,1913,48,16,17.2500,42000,0.4915,12,12,14.0,1,17,40.000010,0.121598,289
1,1486,0,3,40,16,7.4024,6.25,1800,54,16,8.3333,26900,0.6215,16,14,11.0,1,17,15.900030,2.001804,289
1,740,0,2,42,17,4.4595,1.65,2880,45,16,9.3750,30800,0.5815,12,10,9.0,0,14,27.499970,1.495037,196
1,1820,1,1,33,15,2.4725,0.00,1993,32,16,8.2790,21520,0.6915,12,12,11.0,1,11,17.020050,0.905230,121
1,1275,0,3,43,12,1.8824,3.00,2250,47,14,4.5000,24795,0.6915,7,7,7.5,1,7,22.394940,0.632548,49
1,450,1,0,31,16,4.0000,4.00,2286,30,16,4.1995,12900,0.7215,14,16,14.0,1,8,11.100000,1.386294,64
1,1221,0,0,47,17,8.1900,5.99,1880,47,16,16.0640,42700,0.4915,7,7,7.5,1,6,32.700010,2.102914,36
1,1550,0,0,54,17,7.0968,6.00,2350,58,17,11.2770,38800,0.5215,10,17,11.0,1,8,27.799960,1.959644,64
1,180,1,3,33,12,1.6667,0.00,3640,33,11,0.5494,2500,0.9415,7,3,3.0,0,4,2.199994,0.510846,16
1,2090,0,0,43,16,3.4450,3.85,1770,47,14,9.5480,26921,0.6215,14,10,11.0,1,25,19.720950,1.236924,625
1,1960,0,1,46,13,4.2347,4.20,1875,49,13,5.3333,18300,0.6915,7,9,3.0,0,24,9.999988,1.443313,576
1,1440,0,3,35,12,2.7778,4.10,2200,38,9,5.4545,17200,0.7215,7,7,14.0,1,11,13.199970,1.021659,121
1,794,0,3,37,11,1.8892,3.85,2033,39,12,5.9026,14209,0.7515,12,3,9.5,1,19,12.708970,0.636154,361
1,993,0,2,37,16,5.0352,8.30,2739,39,17,9.8576,32300,0.5815,12,16,14.0,1,9,27.300050,1.616453,81
1,160,0,3,34,14,1.2500,0.00,1626,38,14,11.6850,21400,0.7215,17,12,7.5,1,19,21.200000,0.223143,361
1,105,1,0,43,16,2.8571,0.00,2248,44,17,6.2278,14700,0.7215,7,7,9.5,0,14,14.400000,1.049807,196
1,1200,0,0,46,12,4.1167,4.33,2140,48,12,9.1748,25516,0.6215,7,7,9.5,1,22,20.575960,1.415052,484
1,450,0,3,35,9,1.7778,2.60,1985,42,12,6.2972,13300,0.7515,3,7,5.0,1,6,12.499990,0.575377,36
1,996,0,0,46,17,13.5540,9.98,1528,59,17,10.4710,31000,0.5815,12,12,9.5,1,23,17.500220,2.606682,529
1,1052,0,0,46,14,4.5627,4.90,1920,48,16,14.5830,48800,0.4915,7,3,11.0,1,15,44.000040,1.517915,225
1,1128,0,2,43,12,2.1277,2.40,1918,46,10,6.2143,15519,0.7215,7,7,14.0,1,6,13.118950,0.755042,36
1,1840,0,0,30,12,2.9891,3.75,2112,30,12,6.6288,19500,0.6915,7,7,7.5,0,11,14.000060,1.094972,121
1,1910,0,2,41,11,2.5654,2.57,2144,46,9,3.8246,14545,0.7215,3,7,5.0,0,2,9.645086,0.942114,4
1,980,0,1,54,12,5.6122,5.00,1920,54,15,7.8125,22897,0.6915,7,7,14.0,1,22,17.397050,1.724943,484
1,2317,0,1,31,12,2.8054,3.87,2241,41,9,3.4806,14300,0.7215,10,10,7.5,1,10,7.799889,1.031546,100
1,1089,0,0,44,10,1.6070,0.00,880,47,11,5.5500,14884,0.7515,10,10,9.5,1,14,13.133980,0.474369,196
1,800,0,1,32,12,2.2500,0.00,2070,31,16,11.5940,27400,0.6215,12,7,11.0,1,12,25.600000,0.810930,144
1,1230,0,0,47,5,2.0325,2.82,1050,53,5,9.5238,16400,0.7215,7,12,14.0,1,9,13.900030,0.709267,81
1,1158,0,1,46,17,5.5320,8.10,2635,57,17,7.2805,25704,0.6215,14,17,7.5,0,13,19.297940,1.710549,169
1,2272,0,0,37,11,1.5845,3.71,3000,47,8,3.0000,12800,0.7215,10,10,7.5,0,18,9.200016,0.460269,324
1,528,0,2,51,12,3.7879,0.00,2500,50,11,10.4000,40000,0.6215,7,7,7.5,0,8,37.999990,1.331812,64
1,1000,0,1,49,12,3.0000,0.00,1990,49,12,10.0500,47000,0.6615,7,7,14.0,1,11,44.000000,1.098612,121
1,520,0,4,36,14,8.6538,0.00,2390,37,13,8.7866,25872,0.6615,10,12,9.5,1,9,21.372020,2.157999,81
1,760,0,1,39,11,4.2105,3.95,1430,44,12,10.1400,26868,0.6915,12,7,9.5,1,9,23.668020,1.437581,81
1,1920,0,2,48,12,4.6875,4.30,1800,50,8,5.0000,18000,0.6915,12,12,9.5,1,14,9.000000,1.544899,196
1,1220,0,2,38,14,4.0984,4.84,2103,43,17,11.8880,30200,0.5815,7,7,5.0,1,9,25.199950,1.410597,81
1,200,0,2,40,12,25.0000,3.00,1350,42,12,13.3330,26220,0.6615,7,7,7.5,1,2,21.220000,3.218876,4
1,2480,1,5,39,10,2.6331,4.20,2880,36,17,8.6806,40500,0.5815,7,7,3.0,0,12,33.969910,0.968162,144
1,2750,0,0,37,16,6.0000,9.00,2400,43,17,7.2917,33570,0.6100,12,7,7.5,1,15,17.070000,1.791759,225
1,2014,0,1,49,13,5.4126,4.05,1135,47,12,3.5242,16917,0.7215,7,14,14.0,1,11,6.016024,1.688730,121
1,1355,0,3,33,12,0.6642,1.00,2750,35,17,6.1818,18000,0.7215,12,7,9.5,0,7,17.100010,-0.409172,49
1,80,0,0,30,12,1.2500,0.00,2085,32,16,2.9755,8337,0.7515,12,12,11.0,1,9,8.237000,0.223143,81
1,1670,0,0,54,12,2.2754,2.10,2600,56,8,4.5769,17100,0.7215,12,7,9.5,0,19,13.300080,0.822156,361
1,520,0,4,39,11,3.4615,3.05,3542,40,12,3.1056,17800,0.7515,10,7,11.0,0,11,16.000020,1.241702,121
1,288,0,3,43,12,4.1667,3.00,1975,43,12,5.8228,13740,0.7515,12,12,14.0,1,8,12.539990,1.427124,64
1,2014,0,3,31,9,4.4687,4.26,2400,32,12,7.5000,27000,0.6215,10,3,9.5,1,13,18.000040,1.497097,169
1,800,0,3,33,13,1.7500,0.00,3000,37,14,8.3333,32600,0.6215,12,7,7.5,1,4,31.200000,0.559616,16
1,1984,0,3,40,12,3.6694,4.25,1960,39,14,9.2347,28030,0.6615,12,12,14.0,1,7,20.749910,1.300028,49
1,1823,0,1,36,12,6.5826,6.00,2000,39,9,5.5000,23100,0.6615,12,12,3.0,0,19,11.099920,1.884430,361
1,1500,0,0,51,12,2.6000,2.00,3000,51,12,6.0000,24580,0.6615,7,7,9.5,1,14,20.680000,0.955511,196
1,2261,0,1,44,13,4.8651,5.50,2400,43,12,6.6667,29000,0.6215,12,7,9.5,1,14,18.000010,1.582087,196
1,1728,0,3,42,16,5.7870,6.25,2450,48,14,13.0610,42430,0.5215,12,14,9.5,1,3,32.430070,1.755614,9
1,1960,0,1,40,12,4.5408,5.00,2423,40,8,12.7940,41800,0.5215,12,12,7.5,1,9,32.900030,1.513103,81
1,1578,1,1,34,16,9.5057,7.72,2000,33,16,12.0000,39100,0.5800,12,17,9.5,1,7,24.100010,2.251892,49
1,1316,0,0,30,17,10.6380,7.00,2526,41,16,6.7300,31800,0.5815,16,17,11.0,1,7,17.800390,2.364432,49
1,1530,0,0,54,12,1.1111,1.13,2695,53,12,6.6790,22200,0.6915,7,7,14.0,0,14,20.500020,0.105350,196
1,2220,0,0,51,12,4.0541,4.37,2048,54,12,4.3945,19500,0.6915,16,7,3.0,0,29,10.499900,1.399729,841
1,1336,0,2,44,9,2.6871,2.64,1920,46,11,4.6875,14027,0.7515,7,10,11.0,0,19,10.437030,0.988463,361
1,1008,0,1,43,12,2.9762,2.50,2338,42,9,7.6989,21195,0.6615,7,7,11.0,1,14,18.194990,1.090647,196
1,1944,0,1,34,12,3.1728,3.23,2945,37,8,4.3287,19013,0.6915,10,7,7.5,0,16,12.845080,1.154614,256
1,2000,0,0,45,13,3.5500,3.45,2047,52,12,6.7416,20900,0.6615,12,7,11.0,1,10,13.800000,1.266948,100
1,258,0,0,39,12,17.9070,0.00,1668,47,7,9.3525,26820,0.6215,10,3,11.0,0,12,22.200000,2.885192,144
