open,inf,pcinc,land,oil,good,lpcinc,lland,lopen,linf,opendec,linfdec
57.5,75.3,6145,8020,0,1,8.723394,8.989694,4.051785,4.321480,0.575,-0.283690
22.9,13.8,7164,116500,0,1,8.876823,11.665650,3.131137,2.624669,0.229,-1.980502
37.0,10.6,1110,124502,0,0,7.012115,11.732080,3.610918,2.360854,0.370,-2.244316
49.3,16.8,1858,4411,0,1,7.527256,8.391857,3.897924,2.821379,0.493,-1.783791
12.9,4.3,9447,143574,0,1,9.153453,11.874610,2.557227,1.458615,0.129,-3.146555
94.6,7.9,1885,37297,0,0,7.541683,10.526670,4.549657,2.066863,0.946,-2.538307
32.0,10.3,662,224960,0,1,6.495265,12.323680,3.465736,2.332144,0.320,-2.273026
36.3,13.0,2369,38031,0,1,7.770223,10.546160,3.591818,2.564949,0.363,-2.040221
38.3,9.6,19454,6880,1,0,9.875808,8.836374,3.645450,2.261763,0.383,-2.343407
117.8,10.7,694,11720,0,0,6.542472,9.369052,4.768988,2.370244,1.178,-2.234926
55.7,7.8,680,43000,0,0,6.522093,10.668960,4.019980,2.054124,0.557,-2.551046
76.5,6.1,10173,999,0,1,9.227492,6.906755,4.337291,1.808289,0.765,-2.796881
22.8,13.2,589,226660,0,0,6.378426,12.331210,3.126760,2.580217,0.228,-2.024953
33.9,11.1,417,45747,0,0,6.033086,10.730880,3.523415,2.406945,0.339,-2.198225
51.7,4.6,3112,128328,0,1,8.043021,11.762340,3.945458,1.526056,0.517,-3.079114
91.6,4.2,4630,122,0,1,8.440312,4.804021,4.517431,1.435084,0.916,-3.170086
66.7,9.9,576,397953,0,0,6.356108,12.894090,4.200205,2.292535,0.667,-2.312635
57.1,13.3,1484,787,0,0,7.302496,6.668228,4.044804,2.587764,0.571,-2.017406
10.8,32.8,4333,761600,0,1,8.374016,13.543180,2.379546,3.490428,0.108,-1.114742
31.4,8.4,1199,172413,0,1,7.089243,12.057650,3.446808,2.128232,0.314,-2.476938
18.6,9.0,490,54463,0,0,6.194406,10.905280,2.923162,2.197225,0.186,-2.407946
50.7,4.6,9036,16041,0,1,9.108972,9.682903,3.925926,1.526056,0.507,-3.079114
30.8,11.6,7363,103884,0,1,8.904222,11.551030,3.427515,2.451005,0.308,-2.154165
31.9,41.5,2012,50180,0,0,7.606884,10.823370,3.462606,3.725693,0.319,-0.879477
32.5,13.8,441,489206,0,0,6.089045,13.100540,3.481240,2.624669,0.325,-1.980502
17.8,15.1,824,356700,0,0,6.714170,12.784650,2.879198,2.714695,0.178,-1.890475
42.7,7.7,11094,125049,0,1,9.314159,11.736460,3.754199,2.041220,0.427,-2.563950
41.7,10.4,6209,82030,1,0,8.733755,11.314840,3.730501,2.341806,0.417,-2.263364
20.1,9.7,989,310400,0,1,6.896694,12.645620,3.000720,2.272126,0.201,-2.333044
43.5,5.4,2810,29761,0,1,7.940940,10.300950,3.772761,1.686399,0.435,-2.918771
49.4,7.1,1528,178704,0,0,7.331715,12.093490,3.899951,1.960095,0.494,-2.645075
21.9,15.7,1979,157047,0,1,7.590347,11.964300,3.086487,2.753661,0.219,-1.851509
20.4,49.5,2456,496222,0,1,7.806289,13.114780,3.015535,3.901973,0.204,-0.703198
22.6,13.1,1551,115830,0,1,7.346655,11.659880,3.117950,2.572612,0.226,-2.032558
38.5,18.7,3733,35550,0,1,8.224967,10.478700,3.650658,2.928524,0.385,-1.676647
18.6,10.1,379,10169,0,0,5.937536,9.227099,2.923162,2.312536,0.186,-2.292635
35.3,10.0,11101,865000,1,0,9.314791,13.670480,3.563883,2.302585,0.353,-2.302585
45.4,10.6,744,75954,0,0,6.612041,11.237880,3.815512,2.360854,0.454,-2.244316
26.0,20.1,512,27700,0,0,6.238325,10.229190,3.258096,3.000720,0.260,-1.604450
163.8,3.6,5817,220,0,0,8.668540,5.393628,5.098646,1.280934,1.638,-3.324236
18.4,26.9,415,246199,0,0,6.028278,12.413900,2.912351,3.292126,0.184,-1.313044
25.5,12.9,4286,471440,0,1,8.363110,13.063550,3.238678,2.557227,0.255,-2.047943
18.3,13.7,6131,194885,0,1,8.721113,12.180170,2.906901,2.617396,0.183,-1.987774
38.3,12.4,1119,25332,0,1,7.020191,10.139820,3.645450,2.517696,0.383,-2.087474
15.8,21.2,652,967491,0,0,6.480044,13.782460,2.760010,3.054001,0.158,-1.551169
57.6,9.4,3760,63251,0,0,8.232174,11.054870,4.053523,2.240710,0.576,-2.364460
77.9,13.6,1079,6704,0,0,6.983790,8.810460,4.355426,2.610070,0.779,-1.995100
30.4,8.9,8863,173800,0,1,9.089641,12.065660,3.414443,2.186051,0.304,-2.419119
34.7,3.8,10013,15941,0,1,9.211639,9.676650,3.546740,1.335001,0.347,-3.270169
29.8,13.5,3071,71498,0,1,8.029758,11.177420,3.394508,2.602690,0.298,-2.002481
45.8,6.7,2921,13895,0,1,7.979681,9.539285,3.824284,1.902107,0.458,-2.703063
23.5,15.9,353,364900,0,1,5.866468,12.807380,3.157000,2.766319,0.235,-1.838851
25.9,6.0,1694,198455,0,1,7.434848,12.198320,3.254243,1.791759,0.259,-2.813411
49.0,8.9,625,21925,0,0,6.437752,9.995383,3.891820,2.186051,0.490,-2.419119
37.1,14.2,7161,1980,0,1,8.876405,7.590852,3.613617,2.653242,0.371,-1.951928
40.4,8.2,1845,63379,0,1,7.520235,11.056890,3.698830,2.104134,0.404,-2.501036
12.8,32.2,2319,300947,0,1,7.748891,12.614690,2.549445,3.471967,0.128,-1.133204
9.2,39.8,257,91343,0,0,5.549076,11.422380,2.219203,3.683867,0.092,-0.921303
33.2,10.2,25646,32000,1,0,10.152140,10.373490,3.502550,2.322388,0.332,-2.282783
27.2,10.6,7975,94247,0,1,8.984067,11.453670,3.303217,2.360854,0.272,-2.244316
9.3,6.2,11404,3540939,0,1,9.341720,15.079900,2.230014,1.824549,0.093,-2.780621
19.3,44.0,4502,68040,0,0,8.412277,11.127850,2.960105,3.784190,0.193,-0.820981
24.3,14.0,4424,352143,0,0,8.394799,12.771790,3.190476,2.639057,0.243,-1.966113
46.7,13.0,957,128560,0,0,6.863803,11.764150,3.843744,2.564949,0.467,-2.040221
39.6,43.2,224,905365,0,0,5.411646,13.716090,3.678829,3.765841,0.396,-0.839330
39.6,17.5,716,290586,0,0,6.573680,12.579650,3.678829,2.862201,0.396,-1.742969
27.7,10.4,930,150699,0,1,6.835185,11.923040,3.321432,2.341806,0.277,-2.263364
