"id","numyrs","year","choice","wage","educ","expwc","expbc","expser","manuf","black","lwage","enroll","employ","attrit","exper","expersq","status"
113,10,87,2,NA,13,1,0,0,0,1,NA,0,0,0,1,1,"home"
114,9,87,2,NA,8,0,0,0,0,1,NA,0,0,0,0,0,"home"
115,9,87,4,5489.1201171875,10,0,0,2,0,1,8.61052322387695,0,1,0,2,4,"work"
116,8,87,3,17588.330078125,16,0,0,0,0,1,9.77499103546143,0,1,0,0,0,"work"
118,11,87,4,14228.1298828125,11,0,4,1,1,1,9.56297588348389,0,1,0,5,25,"work"
119,10,87,2,NA,10,0,5,0,0,1,NA,0,0,0,5,25,"home"
120,9,87,5,16781.279296875,10,0,1,2,0,1,9.72801876068115,0,1,0,3,9,"work"
121,11,87,5,7312.31982421875,9,0,0,0,0,1,8.89731597900391,0,1,0,0,0,"work"
123,10,87,4,10718.48046875,12,3,2,0,0,1,9.27972507476807,0,1,0,5,25,"work"
124,9,87,5,NA,12,0,1,3,0,1,NA,0,1,0,4,16,"work"
125,10,87,5,14493.3095703125,8,0,0,2,0,1,9.58144283294678,0,1,0,2,4,"work"
126,8,87,2,NA,15,0,0,0,0,1,NA,0,0,0,0,0,"home"
127,10,87,3,10162.169921875,10,0,0,4,0,1,9.22642707824707,0,1,0,4,16,"work"
128,10,87,3,19679.890625,13,2,0,1,0,1,9.88735294342041,0,1,0,3,9,"work"
129,11,87,5,15910.1298828125,8,0,0,7,0,1,9.67471122741699,0,1,0,7,49,"work"
130,10,87,2,NA,11,0,3,0,0,1,NA,0,0,0,3,9,"home"
131,11,87,3,12889.1796875,11,2,2,2,0,1,9.46414375305176,0,1,0,6,36,"work"
133,8,87,2,NA,12,0,4,0,0,1,NA,0,0,0,4,16,"home"
134,9,87,4,24364.650390625,12,0,4,0,0,1,10.1008882522583,0,1,0,4,16,"work"
135,11,87,2,NA,8,1,1,0,0,1,NA,0,0,0,2,4,"home"
136,10,87,4,4874.8798828125,10,0,3,1,0,1,8.49185085296631,0,1,0,4,16,"work"
139,9,87,5,9086.7802734375,10,0,0,1,0,1,9.11457633972168,0,1,0,1,1,"work"
140,11,87,2,NA,10,0,1,0,0,1,NA,0,0,0,1,1,"home"
141,9,87,5,7794.93017578125,11,0,1,3,0,1,8.9612283706665,0,1,0,4,16,"work"
143,8,87,4,9359.76953125,12,1,4,0,0,1,9.14417552947998,0,1,0,5,25,"work"
144,11,87,5,3509.90991210938,12,0,1,4,0,1,8.16334533691406,0,1,0,5,25,"work"
145,10,87,2,NA,7,1,1,0,0,1,NA,0,0,0,2,4,"home"
146,11,87,4,13581.5703125,9,0,9,0,0,1,9.51646900177002,0,1,0,9,81,"work"
147,9,87,3,7288.85986328125,16,0,0,0,0,1,8.89410209655762,0,1,0,0,0,"work"
148,10,87,3,28103.6796875,16,2,0,0,0,1,10.2436561584473,0,1,0,2,4,"work"
149,11,87,5,10724.73046875,12,0,5,1,0,1,9.28030776977539,0,1,0,6,36,"work"
150,8,87,2,NA,10,0,0,0,0,1,NA,0,0,0,0,0,"home"
151,7,87,4,9883.919921875,11,0,4,1,0,1,9.19866466522217,0,1,0,5,25,"work"
152,8,87,4,11017.1796875,13,0,1,2,0,1,9.30721092224121,0,1,0,3,9,"work"
153,9,87,4,22595.919921875,11,0,3,0,0,1,10.0255250930786,0,1,0,3,9,"work"
155,11,87,3,39369.53125,16,5,0,0,0,1,10.5807476043701,0,1,0,5,25,"work"
156,9,87,3,7312.31982421875,16,0,1,0,0,1,8.89731597900391,0,1,0,1,1,"work"
158,9,87,2,NA,10,0,1,1,0,1,NA,0,0,0,2,4,"home"
159,9,87,5,NA,9,1,1,2,0,1,NA,0,1,0,4,16,"work"
160,9,87,2,NA,15,0,0,0,0,1,NA,0,0,0,0,0,"home"
161,10,87,4,12284.7001953125,11,0,3,1,0,1,9.41611003875732,0,1,0,4,16,"work"
162,11,87,5,11175.8896484375,12,0,1,1,0,1,9.32151412963867,0,1,0,2,4,"work"
163,11,87,2,NA,12,0,0,1,0,1,NA,0,0,0,1,1,"home"
164,10,87,2,NA,10,0,4,1,0,1,NA,0,0,0,5,25,"home"
165,9,87,4,11699.7099609375,12,1,3,0,0,1,9.36731910705566,0,1,0,4,16,"work"
167,7,87,4,7305.009765625,13,0,2,0,0,1,8.896315574646,0,1,0,2,4,"work"
168,9,87,2,NA,9,0,2,0,0,1,NA,0,0,0,2,4,"home"
169,11,87,3,14527.1396484375,16,3,0,0,0,1,9.58377361297607,0,1,0,3,9,"work"
170,7,87,2,NA,9,0,3,0,0,1,NA,0,0,0,3,9,"home"
171,8,87,4,19012.029296875,12,0,0,0,0,1,9.85282707214355,0,1,0,0,0,"work"
172,9,87,4,15599.6103515625,12,0,4,0,1,1,9.65500164031982,0,1,0,4,16,"work"
173,8,87,4,12284.7001953125,12,0,3,0,1,1,9.41611003875732,0,1,0,3,9,"work"
174,10,87,4,NA,12,1,3,2,1,1,NA,0,1,0,6,36,"work"
176,11,87,4,7955.7998046875,9,0,8,0,0,1,8.98165607452393,0,1,0,8,64,"work"
177,11,87,2,NA,18,0,0,0,0,1,NA,0,0,0,0,0,"home"
179,9,87,3,16452.720703125,11,0,0,0,0,1,9.7082462310791,0,1,0,0,0,"work"
180,8,87,1,NA,14,1,0,1,0,1,NA,1,0,0,2,4,"school"
181,9,87,2,NA,9,0,0,0,0,1,NA,0,0,0,0,0,"home"
182,8,87,2,NA,9,0,0,0,0,1,NA,0,0,0,0,0,"home"
184,9,87,2,NA,10,0,0,0,0,1,NA,0,0,0,0,0,"home"
185,11,87,4,28274.30078125,12,2,3,2,0,1,10.2497081756592,0,1,0,7,49,"work"
186,9,87,4,21921.359375,12,0,3,0,1,1,9.99521636962891,0,1,0,3,9,"work"
187,8,87,2,NA,10,0,2,0,0,1,NA,0,0,0,2,4,"home"
188,10,87,5,9749.759765625,10,0,0,5,0,1,9.18499755859375,0,1,0,5,25,"work"
189,11,87,2,NA,10,0,0,2,0,1,NA,0,0,0,2,4,"home"
191,10,87,3,8334.509765625,13,0,1,0,0,1,9.02816009521484,0,1,0,1,1,"work"
192,11,87,5,16473.91015625,10,0,0,2,0,1,9.70953273773193,0,1,0,2,4,"work"
196,8,87,1,NA,14,0,2,0,0,1,NA,1,0,0,2,4,"school"
197,9,87,4,40773.48828125,12,0,6,0,0,1,10.6157875061035,0,1,0,6,36,"work"
198,10,87,2,NA,12,6,0,1,0,1,NA,0,0,0,7,49,"home"
199,9,87,2,NA,10,0,2,0,0,1,NA,0,0,0,2,4,"home"
200,8,87,2,NA,11,0,0,3,0,1,NA,0,0,0,3,9,"home"
201,9,87,2,NA,9,0,0,0,0,1,NA,0,0,0,0,0,"home"
202,9,87,4,11908.3095703125,10,0,5,0,0,1,9.38499164581299,0,1,0,5,25,"work"
203,11,87,2,NA,10,0,2,0,0,1,NA,0,0,0,2,4,"home"
205,11,87,2,NA,13,0,2,0,0,1,NA,0,0,0,2,4,"home"
210,10,87,2,NA,10,0,0,0,0,1,NA,0,0,0,0,0,"home"
212,11,87,1,NA,11,1,2,0,0,1,NA,1,0,0,3,9,"school"
213,9,87,5,4442.31982421875,11,2,0,0,0,1,8.39893245697021,0,1,0,2,4,"work"
214,9,87,4,14624.6396484375,11,0,0,3,1,1,9.59046268463135,0,1,0,3,9,"work"
216,11,87,2,NA,8,1,0,1,0,1,NA,0,0,0,2,4,"home"
217,11,87,2,NA,10,0,0,0,0,1,NA,0,0,0,0,0,"home"
218,11,87,2,NA,13,1,0,1,0,1,NA,0,0,0,2,4,"home"
219,9,87,2,NA,15,0,0,0,0,1,NA,0,0,0,0,0,"home"
220,8,87,2,NA,11,0,0,0,0,1,NA,0,0,0,0,0,"home"
221,11,87,4,17796.83984375,11,0,2,5,0,1,9.78677654266357,0,1,0,7,49,"work"
222,8,87,4,13253.759765625,9,0,6,0,0,1,9.49203681945801,0,1,0,6,36,"work"
223,11,87,4,10198.25,8,0,3,0,0,1,9.22997188568115,0,1,0,3,9,"work"
225,9,87,3,5620.7900390625,14,0,0,1,1,1,8.63422775268555,0,1,0,1,1,"work"
226,9,87,2,NA,12,0,0,3,0,1,NA,0,0,0,3,9,"home"
227,8,87,3,18172.98046875,12,4,0,0,0,1,9.80769157409668,0,1,0,4,16,"work"
228,8,87,3,7086.64013671875,11,0,0,0,0,1,8.865966796875,0,1,0,0,0,"work"
231,11,87,3,19207.029296875,17,1,1,0,1,1,9.8630313873291,0,1,0,2,4,"work"
232,8,87,3,11699.7099609375,14,2,1,0,0,1,9.36731910705566,0,1,0,3,9,"work"
233,11,87,2,NA,12,1,7,0,0,1,NA,0,0,0,8,64,"home"
234,9,87,4,24315.83984375,12,4,0,0,0,1,10.0988836288452,0,1,0,4,16,"work"
236,8,87,4,10237.25,12,0,0,0,0,1,9.23378849029541,0,1,0,0,0,"work"
237,8,87,2,NA,12,0,1,0,0,1,NA,0,0,0,1,1,"home"
238,9,87,4,11114.73046875,12,1,4,0,0,1,9.31602668762207,0,1,0,5,25,"work"
240,8,87,4,17225.970703125,10,0,4,0,0,1,9.75417327880859,0,1,0,4,16,"work"
241,9,87,4,13405.919921875,10,0,5,1,0,1,9.50345134735107,0,1,0,6,36,"work"
243,10,87,2,NA,15,0,3,0,0,1,NA,0,0,0,3,9,"home"
244,8,87,4,NA,15,0,4,0,0,1,NA,0,1,0,4,16,"work"
245,8,87,3,22839.7890625,12,3,0,1,0,1,10.0362596511841,0,1,0,4,16,"work"
246,11,87,2,NA,10,0,2,0,0,1,NA,0,0,0,2,4,"home"
247,10,87,2,NA,11,1,1,0,0,1,NA,0,0,0,2,4,"home"
248,8,87,2,NA,12,0,0,0,0,1,NA,0,0,0,0,0,"home"
250,11,87,3,21641.5390625,16,2,0,0,0,1,9.9823694229126,0,1,0,2,4,"work"
251,11,87,2,NA,12,0,0,5,0,1,NA,0,0,0,5,25,"home"
252,10,87,2,NA,9,0,4,0,0,1,NA,0,0,0,4,16,"home"
253,8,87,2,NA,12,0,3,0,0,1,NA,0,0,0,3,9,"home"
254,10,87,4,32449.470703125,16,0,3,0,0,1,10.3874397277832,0,1,0,3,9,"work"
255,11,87,3,28061.98046875,12,0,7,1,0,1,10.2421712875366,0,1,0,8,64,"work"
256,9,87,3,36651.78125,16,3,0,0,0,1,10.5092172622681,0,1,0,3,9,"work"
259,11,87,4,12674.6904296875,10,0,3,0,0,1,9.44736194610596,0,1,0,3,9,"work"
260,10,87,2,NA,7,3,0,0,0,1,NA,0,0,0,3,9,"home"
261,9,87,4,10246.6298828125,9,0,1,2,0,1,9.23470401763916,0,1,0,3,9,"work"
262,8,87,4,34020.48828125,8,0,6,0,0,1,10.434718132019,0,1,0,6,36,"work"
263,8,87,4,9718.48046875,12,0,3,1,0,1,9.18178462982178,0,1,0,4,16,"work"
265,10,87,2,NA,8,0,0,2,0,1,NA,0,0,0,2,4,"home"
267,10,87,4,10848.0400390625,10,0,1,0,0,1,9.29173946380615,0,1,0,1,1,"work"
268,8,87,2,NA,13,2,0,1,0,1,NA,0,0,0,3,9,"home"
270,10,87,2,NA,11,0,2,0,0,1,NA,0,0,0,2,4,"home"
272,11,87,3,14800.1298828125,16,2,0,0,0,1,9.60239124298096,0,1,0,2,4,"work"
273,8,87,4,9749.759765625,13,1,0,1,0,1,9.18499755859375,0,1,0,2,4,"work"
276,8,87,5,4516.5,15,0,0,0,0,1,8.41549301147461,0,1,0,0,0,"work"
278,10,87,5,17330.19921875,14,0,0,5,0,1,9.76020622253418,0,1,0,5,25,"work"
280,9,87,3,5459.85986328125,12,1,3,0,0,1,8.60517883300781,0,1,0,4,16,"work"
281,11,87,4,8423.7900390625,11,0,2,0,0,1,9.03881549835205,0,1,0,2,4,"work"
282,8,87,5,9706.0302734375,16,0,0,1,0,1,9.18050289154053,0,1,0,1,1,"work"
283,8,87,5,8219.75,12,3,2,0,0,1,9.01429462432861,0,1,0,5,25,"work"
284,10,87,3,24530.80078125,16,1,0,0,0,1,10.1076850891113,0,1,0,1,1,"work"
286,9,87,4,10466.1298828125,10,0,0,5,0,1,9.25589942932129,0,1,0,5,25,"work"
288,10,87,5,11206.6103515625,11,1,0,0,1,1,9.32425880432129,0,1,0,1,1,"work"
290,9,87,4,14068.900390625,10,2,0,1,1,1,9.55172157287598,0,1,0,3,9,"work"
291,10,87,3,13649.66015625,15,2,1,0,0,1,9.52147006988525,0,1,0,3,9,"work"
293,9,87,4,21449.470703125,10,0,4,0,0,1,9.97345542907715,0,1,0,4,16,"work"
294,10,87,4,8231.740234375,12,0,3,0,0,1,9.0157527923584,0,1,0,3,9,"work"
295,10,87,3,17146.900390625,16,1,0,0,0,1,9.74957275390625,0,1,0,1,1,"work"
296,11,87,4,4845.6298828125,12,0,6,0,0,1,8.48583221435547,0,1,0,6,36,"work"
297,10,87,2,NA,8,0,0,0,0,1,NA,0,0,0,0,0,"home"
302,8,87,4,9262.26953125,13,2,3,0,0,1,9.13370418548584,0,1,0,5,25,"work"
303,9,87,4,17049.400390625,14,1,2,0,0,1,9.74387073516846,0,1,0,3,9,"work"
304,8,87,3,18745.859375,15,0,0,0,0,1,9.8387279510498,0,1,0,0,0,"work"
305,9,87,2,NA,10,0,0,0,0,1,NA,0,0,0,0,0,"home"
306,8,87,4,7627.02978515625,9,0,1,0,1,1,8.93945407867432,0,1,0,1,1,"work"
307,11,87,4,15404.6201171875,12,0,8,0,1,1,9.64242267608643,0,1,0,8,64,"work"
309,11,87,4,16963.2890625,12,1,5,0,0,1,9.73880672454834,0,1,0,6,36,"work"
310,10,87,3,21279.740234375,13,4,0,0,0,1,9.96551036834717,0,1,0,4,16,"work"
312,8,87,5,13162.169921875,15,0,1,1,1,1,9.4851016998291,0,1,0,2,4,"work"
313,11,87,5,6083.85009765625,13,0,4,0,0,1,8.71339321136475,0,1,0,4,16,"work"
314,9,87,3,19679.890625,17,0,0,1,0,1,9.88735294342041,0,1,0,1,1,"work"
315,9,87,4,11053.2099609375,8,0,1,1,0,1,9.31047630310059,0,1,0,2,4,"work"
316,8,87,4,13396.169921875,12,0,1,1,0,1,9.50272369384766,0,1,0,2,4,"work"
317,11,87,2,NA,12,2,1,2,0,1,NA,0,0,0,5,25,"home"
318,9,87,2,NA,11,0,0,0,0,1,NA,0,0,0,0,0,"home"
319,11,87,3,16941.75,12,0,6,0,0,1,9.73753643035889,0,1,0,6,36,"work"
320,10,87,5,19753.009765625,12,0,1,2,0,1,9.8910608291626,0,1,0,3,9,"work"
321,8,87,2,NA,10,0,0,0,0,1,NA,0,0,0,0,0,"home"
323,8,87,4,63356.37890625,12,0,4,0,0,1,11.0565309524536,0,1,0,4,16,"work"
326,8,87,4,16642.439453125,12,0,3,0,0,1,9.71971130371094,0,1,0,3,9,"work"
327,11,87,3,35489.12109375,11,0,6,0,0,1,10.4769811630249,0,1,0,6,36,"work"
328,11,87,4,15312.1103515625,11,2,5,0,0,1,9.636399269104,0,1,0,7,49,"work"
329,9,87,3,31589.220703125,12,1,4,0,1,1,10.3605709075928,0,1,0,5,25,"work"
331,11,87,4,5835.22998046875,9,0,6,0,1,1,8.67166900634766,0,1,0,6,36,"work"
332,10,87,4,9749.759765625,8,0,6,0,1,1,9.18499755859375,0,1,0,6,36,"work"
333,9,87,2,NA,10,0,0,0,0,1,NA,0,0,0,0,0,"home"
334,8,87,4,12476.51953125,9,1,3,0,1,1,9.43160343170166,0,1,0,4,16,"work"
335,8,87,3,9018.5302734375,11,0,0,0,0,1,9.10703659057617,0,1,0,0,0,"work"
337,9,87,2,NA,8,0,0,0,0,1,NA,0,0,0,0,0,"home"
338,11,87,4,11106.830078125,12,0,1,1,1,1,9.31531524658203,0,1,0,2,4,"work"
339,11,87,2,NA,10,2,0,1,0,1,NA,0,0,0,3,9,"home"
340,9,87,5,10576.669921875,16,0,1,0,0,1,9.26640605926514,0,1,0,1,1,"work"
341,10,87,4,13240.9599609375,13,0,2,1,0,1,9.49107074737549,0,1,0,3,9,"work"
342,8,87,2,NA,10,0,0,0,0,1,NA,0,0,0,0,0,"home"
343,10,87,4,16106.599609375,12,0,7,0,1,1,9.68698406219482,0,1,0,7,49,"work"
345,10,87,3,11614.3701171875,15,1,1,0,1,1,9.35999870300293,0,1,0,2,4,"work"
351,8,87,2,NA,8,0,1,0,0,1,NA,0,0,0,1,1,"home"
354,8,87,4,NA,12,2,1,1,0,1,NA,0,1,0,4,16,"work"
355,8,87,4,10958.73046875,10,0,0,0,1,1,9.3018913269043,0,1,0,0,0,"work"
357,8,87,2,NA,16,0,0,0,0,1,NA,0,0,0,0,0,"home"
359,11,87,2,NA,12,0,0,0,0,1,NA,0,0,0,0,0,"home"
360,10,87,2,NA,8,0,1,0,0,1,NA,0,0,0,1,1,"home"
361,10,87,4,24374.400390625,9,0,4,0,1,1,10.1012887954712,0,1,0,4,16,"work"
364,8,87,2,NA,9,2,1,1,0,1,NA,0,0,0,4,16,"home"
365,9,87,5,16574.58984375,15,0,0,0,0,1,9.71562576293945,0,1,0,0,0,"work"
366,10,87,1,NA,18,0,0,0,0,1,NA,1,0,0,0,0,"school"
367,11,87,2,NA,11,1,0,0,0,1,NA,0,0,0,1,1,"home"
369,8,87,5,11718.48046875,9,1,2,1,0,1,9.36892223358154,0,1,0,4,16,"work"
370,8,87,2,NA,12,0,1,0,0,1,NA,0,0,0,1,1,"home"
371,10,87,4,7677.93017578125,9,0,5,0,1,1,8.94610500335693,0,1,0,5,25,"work"
372,10,87,5,16352.9599609375,10,2,3,4,0,1,9.70216464996338,0,1,0,9,81,"work"
374,11,87,2,NA,12,6,1,0,0,1,NA,0,0,0,7,49,"home"
375,10,87,2,NA,15,1,0,0,0,1,NA,0,0,0,1,1,"home"
376,7,87,4,15656.8095703125,9,0,0,0,0,1,9.65866088867188,0,1,0,0,0,"work"
377,10,87,2,NA,11,7,0,0,0,1,NA,0,0,0,7,49,"home"
380,9,87,2,NA,16,0,0,0,0,1,NA,0,0,0,0,0,"home"
381,11,87,2,NA,10,0,0,0,0,1,NA,0,0,0,0,0,"home"
382,11,87,2,NA,11,1,0,1,0,1,NA,0,0,0,2,4,"home"
383,9,87,1,NA,15,2,0,0,0,1,NA,1,0,0,2,4,"school"
384,10,87,2,NA,10,0,0,0,0,1,NA,0,0,0,0,0,"home"
385,11,87,3,9059.9599609375,16,1,0,0,0,1,9.11161994934082,0,1,0,1,1,"work"
387,10,87,2,NA,9,0,6,0,0,1,NA,0,0,0,6,36,"home"
389,10,87,2,NA,8,0,1,0,0,1,NA,0,0,0,1,1,"home"
390,8,87,3,21449.470703125,9,0,3,1,0,1,9.97345542907715,0,1,0,4,16,"work"
392,11,87,3,10690.330078125,9,1,1,0,0,1,9.27709484100342,0,1,0,2,4,"work"
395,8,87,3,22482.939453125,12,0,3,2,0,1,10.0205116271973,0,1,0,5,25,"work"
396,9,87,3,10418.1396484375,12,1,2,0,0,1,9.25130367279053,0,1,0,3,9,"work"
397,9,87,3,21959.939453125,11,0,0,0,0,1,9.99697494506836,0,1,0,0,0,"work"
398,10,87,5,12674.6904296875,12,2,0,3,0,1,9.44736194610596,0,1,0,5,25,"work"
399,11,87,4,17803.060546875,11,0,6,0,0,1,9.78712558746338,0,1,0,6,36,"work"
400,9,87,4,26324.349609375,12,0,5,0,0,1,10.1782493591309,0,1,0,5,25,"work"
401,11,87,4,14367.25,13,0,5,0,0,1,9.57270622253418,0,1,0,5,25,"work"
402,8,87,2,NA,12,2,0,0,0,1,NA,0,0,0,2,4,"home"
