narr86,nfarr86,nparr86,pcnv,avgsen,tottime,ptime86,qemp86,inc86,durat,black,hispan,born60
5,2,2,0.27,0.0,0.0,0,1.0,0.7,2.0,0,1,0
0,0,0,0.40,0.0,0.0,0,0.0,0.0,9.0,1,0,0
2,2,1,0.50,0.0,0.0,0,4.0,24.8,0.0,0,1,0
1,1,1,0.60,0.0,0.0,0,0.0,0.0,19.0,0,0,0
0,0,0,1.00,0.0,0.0,0,4.0,131.2,0.0,0,0,1
0,0,0,0.00,0.0,0.0,0,4.0,144.6,0.0,0,0,0
0,0,0,0.00,0.0,0.0,0,0.0,0.0,2.0,0,0,0
1,1,0,0.00,0.0,0.0,0,2.0,6.2,0.0,1,0,1
0,0,0,0.57,18.4,36.8,2,1.8,5.6,10.9,0,1,0
0,0,0,1.00,0.0,0.0,0,1.0,3.4,17.0,0,0,0
0,0,0,0.50,0.0,0.0,0,3.0,37.5,6.0,0,0,0
0,0,0,0.50,0.0,0.0,0,0.0,0.0,10.0,0,0,0
0,0,0,0.33,18.4,18.4,0,0.0,0.0,2.0,0,0,0
0,0,0,0.33,0.0,0.0,0,0.0,0.0,3.0,0,1,1
0,0,0,0.50,0.0,0.0,0,4.0,89.9,0.0,0,0,1
0,0,0,0.50,11.0,11.0,0,0.0,0.0,7.0,0,1,1
0,0,0,0.20,0.0,0.0,0,4.0,21.5,0.0,0,1,1
0,0,0,0.00,0.0,0.0,0,4.0,164.9,0.0,0,1,0
1,1,1,0.63,8.9,8.9,7,0.0,0.0,1.9,0,0,1
0,0,0,0.00,0.0,0.0,0,0.0,0.0,11.0,1,0,0
1,1,1,0.00,0.0,0.0,2,2.0,9.7,0.0,0,1,0
2,1,0,0.29,21.7,21.7,0,2.0,18.9,0.0,0,1,1
0,0,0,0.25,24.6,49.2,0,1.0,9.6,12.9,0,0,0
0,0,0,1.00,0.0,0.0,0,1.0,0.7,17.0,0,0,1
2,2,0,0.00,0.0,0.0,0,1.0,29.3,1.0,0,0,1
2,2,0,0.14,13.4,13.4,0,1.0,1.0,0.0,1,0,1
0,0,0,0.00,18.4,18.4,0,1.0,21.3,3.0,0,0,0
0,0,0,0.50,0.0,0.0,0,4.0,33.4,0.0,0,1,0
0,0,0,0.00,0.0,0.0,0,4.0,117.8,0.0,0,0,1
0,0,0,0.33,0.0,0.0,0,2.0,29.1,0.0,0,0,1
0,0,0,1.00,0.0,0.0,0,4.0,240.8,0.0,0,0,1
0,0,0,0.00,0.0,0.0,0,4.0,140.6,0.0,0,0,1
0,0,0,1.00,0.0,0.0,0,4.0,148.3,0.0,0,0,1
0,0,0,0.75,0.0,0.0,0,4.0,14.7,0.0,0,0,1
0,0,0,0.83,7.8,31.2,0,2.0,10.5,0.0,0,0,1
0,0,0,0.00,0.0,0.0,0,1.0,7.9,7.0,0,0,0
1,0,0,0.31,0.0,0.0,0,0.0,0.0,23.0,0,0,1
2,1,0,0.50,0.0,0.0,0,1.0,6.2,0.0,0,1,1
1,0,0,0.50,0.0,0.0,0,0.0,0.0,2.0,0,1,1
0,0,0,0.50,0.0,0.0,0,0.0,0.0,3.0,1,0,0
1,1,1,1.00,0.0,0.0,0,2.0,2.9,1.0,0,0,0
0,0,0,0.25,18.5,18.5,11,0.0,0.0,1.0,1,0,0
0,0,0,0.67,0.0,0.0,0,2.0,2.9,0.0,0,0,1
0,0,0,0.67,0.0,0.0,0,1.0,4.1,0.0,0,0,1
3,3,0,0.33,11.9,11.9,0,0.0,0.0,1.0,0,0,0
0,0,0,0.17,10.9,10.9,9,0.0,0.0,4.0,0,1,1
0,0,0,0.00,0.0,0.0,0,0.0,0.0,2.0,0,0,1
1,1,0,0.33,0.0,0.0,0,0.0,0.0,20.0,1,0,0
0,0,0,0.50,0.0,0.0,0,0.0,0.0,4.0,0,0,1
0,0,0,0.33,0.0,0.0,0,1.0,0.2,0.0,0,0,1
0,0,0,0.00,0.0,0.0,0,3.0,61.3,0.0,0,0,0
0,0,0,0.00,0.0,0.0,0,4.0,276.2,0.0,0,1,1
0,0,0,0.25,9.1,9.1,12,0.0,0.0,0.0,1,0,0
0,0,0,0.50,0.0,0.0,0,4.0,52.4,0.0,0,0,0
2,2,1,0.42,6.7,6.7,3,0.0,0.0,22.0,0,0,1
0,0,0,0.57,14.4,14.4,0,4.0,34.5,0.0,0,0,1
0,0,0,1.00,0.0,0.0,0,4.0,80.9,0.0,0,0,1
0,0,0,0.40,10.6,21.2,12,0.0,0.0,0.0,0,0,0
0,0,0,0.50,0.0,0.0,0,4.0,121.1,0.0,0,1,1
0,0,0,1.00,0.0,0.0,0,4.0,182.6,0.0,0,0,1
0,0,0,1.00,0.0,0.0,0,0.0,0.0,6.0,0,1,1
0,0,0,0.33,0.0,0.0,0,0.0,0.0,1.0,0,0,1
0,0,0,0.50,0.0,0.0,0,3.0,44.6,0.0,0,0,1
2,0,0,0.83,0.0,0.0,0,2.0,26.1,5.0,0,1,1
0,0,0,0.25,0.0,0.0,0,1.0,0.8,1.0,0,0,1
0,0,0,0.50,0.0,0.0,12,0.0,0.0,0.0,0,0,1
0,0,0,0.00,0.0,0.0,0,4.0,185.5,0.0,0,0,0
0,0,0,0.80,0.0,0.0,0,0.0,0.0,6.0,0,0,1
0,0,0,0.67,0.0,0.0,0,4.0,97.7,0.0,0,1,1
4,2,2,1.00,21.8,43.6,0,2.0,25.8,0.0,0,1,0
1,0,0,0.50,0.0,0.0,0,2.0,1.8,5.0,1,0,0
0,0,0,0.00,0.0,0.0,0,4.0,166.5,0.0,0,0,1
2,2,2,0.00,0.0,0.0,0,0.0,0.0,1.0,1,0,1
1,1,1,1.00,0.0,0.0,0,3.0,71.1,1.0,1,0,0
0,0,0,0.33,0.0,0.0,0,3.0,9.2,0.0,1,0,1
0,0,0,0.67,11.4,11.4,0,4.0,210.6,0.0,0,0,1
1,1,0,0.00,0.0,0.0,0,4.0,282.4,0.0,0,1,0
0,0,0,0.67,0.0,0.0,0,0.0,0.0,3.0,0,0,1
1,0,0,0.00,0.0,0.0,0,4.0,25.7,0.0,1,0,0
2,2,2,0.40,0.0,0.0,0,2.0,34.9,0.0,0,0,1
0,0,0,0.33,0.0,0.0,0,4.0,58.7,0.0,0,0,1
0,0,0,0.50,0.0,0.0,0,4.0,108.3,0.0,1,0,1
0,0,0,0.50,0.0,0.0,0,0.0,0.0,9.0,0,0,1
0,0,0,0.00,0.0,0.0,0,3.0,15.7,4.0,0,0,1
1,1,0,0.29,0.0,0.0,0,0.0,0.0,2.0,1,0,1
3,2,0,0.50,0.0,0.0,0,3.0,37.2,0.0,0,1,0
0,0,0,0.22,0.0,0.0,0,3.0,84.8,0.0,0,0,0
0,0,0,0.13,12.7,38.1,12,0.0,0.0,0.0,0,1,0
0,0,0,0.33,0.0,0.0,0,2.0,9.5,1.0,0,1,1
0,0,0,0.40,0.0,0.0,0,4.0,54.8,0.0,0,1,1
0,0,0,0.20,0.0,0.0,0,1.0,2.0,22.0,0,0,1
0,0,0,0.33,14.2,14.2,0,4.0,76.3,0.0,0,1,0
1,0,1,1.00,0.0,0.0,0,0.0,0.0,4.0,0,0,1
1,1,0,0.50,0.0,0.0,0,4.0,103.7,0.0,0,0,1
0,0,0,1.00,0.0,0.0,0,4.0,148.2,0.0,0,0,1
0,0,0,1.00,0.0,0.0,0,0.0,0.0,3.0,0,0,1
0,0,0,0.50,0.0,0.0,0,4.0,183.4,0.0,0,0,1
0,0,0,0.67,10.7,21.4,0,4.0,117.6,0.0,0,1,1
1,1,1,0.71,0.0,0.0,0,4.0,24.8,0.0,0,1,0
0,0,0,1.00,0.0,0.0,0,0.0,0.0,1.0,0,0,1
0,0,0,0.00,0.0,0.0,0,0.0,0.0,3.0,0,0,1
0,0,0,0.33,0.0,0.0,0,1.0,0.8,15.0,0,1,1
0,0,0,0.40,0.0,0.0,0,4.0,108.8,0.0,0,1,1
0,0,0,1.00,0.0,0.0,0,4.0,220.3,0.0,0,0,1
1,0,0,0.00,0.0,0.0,0,3.0,56.3,0.0,0,0,1
0,0,0,1.00,0.0,0.0,0,4.0,176.4,0.0,0,0,1
0,0,0,0.00,0.0,0.0,0,2.0,28.3,0.0,0,0,1
1,0,0,0.80,0.0,0.0,0,3.0,51.8,1.0,0,1,1
0,0,0,1.00,0.0,0.0,0,4.0,178.2,0.0,0,0,1
1,0,0,0.00,0.0,0.0,0,4.0,176.1,0.0,1,0,1
1,1,1,1.00,0.0,0.0,0,4.0,142.4,0.0,0,0,1
0,0,0,1.00,0.0,0.0,0,2.0,23.8,8.0,0,0,1
3,0,0,0.33,0.0,0.0,0,4.0,176.5,0.0,1,0,1
0,0,0,0.00,0.0,0.0,0,4.0,75.2,0.0,0,0,1
0,0,0,0.50,0.0,0.0,0,0.0,0.0,3.0,0,1,1
0,0,0,0.60,0.0,0.0,12,0.0,0.0,0.0,0,1,0
2,1,0,0.33,0.0,0.0,0,4.0,145.4,0.0,0,1,0
1,1,1,0.00,0.0,0.0,0,0.0,0.0,9.0,1,0,1
1,1,0,0.33,0.0,0.0,0,0.0,0.0,19.0,1,0,1
0,0,0,1.00,0.0,0.0,0,4.0,237.7,0.0,0,0,1
0,0,0,0.00,0.0,0.0,0,4.0,195.7,0.0,0,0,1
1,1,0,0.00,0.0,0.0,0,4.0,53.8,0.0,0,0,1
1,0,0,0.40,0.0,0.0,0,2.0,33.2,2.0,0,0,0
2,1,0,0.00,19.3,19.3,0,3.0,10.1,9.0,1,0,0
0,0,0,0.44,10.0,20.0,0,4.0,262.7,0.0,0,0,1
0,0,0,0.00,0.0,0.0,0,4.0,81.3,0.0,0,0,1
0,0,0,0.43,22.0,22.0,0,3.0,5.7,5.5,1,0,1
0,0,0,1.00,0.0,0.0,0,2.0,25.9,0.0,0,0,1
1,0,0,0.33,9.7,19.4,0,2.0,21.0,0.0,1,0,1
0,0,0,0.00,0.0,0.0,0,2.0,16.4,1.0,0,0,1
1,0,0,0.44,0.0,0.0,0,4.0,35.7,0.0,1,0,1
0,0,0,0.00,0.0,0.0,0,0.0,0.0,2.0,0,0,1
0,0,0,1.00,0.0,0.0,0,4.0,263.6,0.0,0,0,1
0,0,0,0.20,0.0,0.0,0,4.0,133.8,0.0,0,1,1
0,0,0,1.00,0.0,0.0,0,0.0,0.0,1.0,0,1,1
0,0,0,0.17,0.0,0.0,0,0.0,0.0,2.0,0,1,1
1,1,0,0.33,6.1,12.2,0,1.0,6.1,0.0,0,1,1
2,2,0,0.00,0.0,0.0,0,3.0,20.7,0.0,0,1,1
1,1,0,0.33,0.0,0.0,0,2.0,10.0,1.0,0,0,1
2,1,0,1.00,0.0,0.0,0,4.0,80.0,0.0,0,0,1
0,0,0,0.00,0.0,0.0,0,1.0,21.9,22.0,0,0,1
0,0,0,0.43,0.0,0.0,12,0.0,0.0,0.0,0,1,0
0,0,0,0.62,0.0,0.0,0,0.0,0.0,13.0,0,0,1
3,1,1,1.00,0.0,0.0,0,2.0,23.3,0.0,0,0,1
0,0,0,1.00,0.0,0.0,0,4.0,64.1,0.0,0,0,1
0,0,0,0.50,0.0,0.0,0,3.0,21.6,0.0,0,1,1
0,0,0,0.40,14.8,29.6,0,4.0,32.6,0.0,0,1,0
0,0,0,0.50,0.0,0.0,0,3.0,51.2,0.0,0,1,1
0,0,0,0.57,0.0,0.0,0,3.0,123.1,0.0,0,1,1
0,0,0,0.33,0.0,0.0,0,0.0,0.0,4.0,0,0,1
1,1,1,0.00,0.0,0.0,0,0.0,0.0,9.0,1,0,0
0,0,0,0.33,0.0,0.0,0,3.0,29.5,3.0,0,0,1
0,0,0,1.00,0.0,0.0,0,0.0,0.0,3.0,1,0,1
0,0,0,0.00,0.0,0.0,0,1.0,45.8,3.0,0,0,1
0,0,0,1.00,0.0,0.0,0,0.0,0.0,1.0,0,0,1
0,0,0,1.00,0.0,0.0,0,1.0,1.0,1.0,0,0,1
0,0,0,0.57,0.0,0.0,0,0.0,0.0,22.0,0,0,1
0,0,0,0.33,0.0,0.0,0,1.0,1.9,5.0,0,0,1
0,0,0,0.50,0.0,0.0,0,4.0,230.1,0.0,0,0,1
1,1,0,0.00,0.0,0.0,0,3.0,31.4,0.0,1,0,1
1,0,0,0.22,13.7,13.7,0,0.0,0.0,11.0,0,1,1
0,0,0,0.60,0.0,0.0,12,0.0,0.0,0.0,0,0,1
2,1,2,0.50,0.0,0.0,0,2.0,11.6,0.0,0,1,0
0,0,0,0.80,15.0,30.0,7,0.0,0.0,11.4,0,0,0
1,0,0,0.00,0.0,0.0,0,3.0,28.3,0.0,0,0,1
3,3,2,0.50,0.0,0.0,0,1.0,3.8,5.0,0,0,1
0,0,0,0.29,0.0,0.0,0,4.0,285.2,0.0,0,0,1
0,0,0,0.50,0.0,0.0,0,2.0,18.0,0.0,0,0,1
1,0,0,0.44,12.4,12.4,2,1.0,0.2,5.0,0,1,1
0,0,0,0.00,0.0,0.0,0,4.0,155.6,0.0,0,0,1
0,0,0,0.50,0.0,0.0,0,3.0,114.0,0.0,0,1,1
0,0,0,0.00,0.0,0.0,0,0.0,0.0,2.0,0,0,1
0,0,0,0.50,0.0,0.0,0,4.0,345.0,0.0,0,0,1
1,1,1,0.38,0.0,0.0,0,0.0,0.0,5.0,0,1,1
0,0,0,0.00,0.0,0.0,0,4.0,209.0,0.0,0,1,1
0,0,0,0.50,0.0,0.0,12,0.0,0.0,0.0,0,0,1
0,0,0,0.30,0.0,0.0,0,1.0,0.2,9.0,0,0,0
0,0,0,0.50,0.0,0.0,0,0.0,0.0,2.0,0,0,0
0,0,0,0.40,0.0,0.0,0,0.0,0.0,12.0,1,0,0
0,0,0,0.67,0.0,0.0,0,4.0,55.9,0.0,0,0,1
0,0,0,0.33,8.6,8.6,0,3.0,14.0,0.0,0,1,1
0,0,0,1.00,0.0,0.0,0,4.0,295.9,0.0,0,1,1
0,0,0,1.00,0.0,0.0,0,4.0,243.1,0.0,0,0,1
0,0,0,1.00,0.0,0.0,0,1.0,20.1,0.0,0,0,1
0,0,0,0.00,0.0,0.0,0,2.0,45.9,2.0,1,0,1
1,0,0,0.33,0.0,0.0,0,4.0,187.8,0.0,0,0,1
0,0,0,0.08,0.0,0.0,0,0.0,0.0,2.0,1,0,1
0,0,0,0.38,9.6,9.6,6,1.0,1.3,0.0,1,0,0
0,0,0,0.67,0.0,0.0,0,4.0,90.5,0.0,0,1,0
0,0,0,1.00,0.0,0.0,0,4.0,166.2,0.0,0,0,1
1,1,0,0.60,0.0,0.0,0,4.0,28.8,0.0,0,1,1
1,1,0,1.00,0.0,0.0,0,2.0,16.2,4.0,0,0,1
0,0,0,0.00,0.0,0.0,0,4.0,142.3,0.0,0,0,1
0,0,0,0.50,0.0,0.0,0,1.0,3.5,0.0,0,0,1
0,0,0,0.40,0.0,0.0,0,1.0,1.0,12.0,0,1,1
0,0,0,0.75,0.0,0.0,0,4.0,94.5,0.0,0,0,1
0,0,0,1.00,0.0,0.0,0,4.0,188.0,0.0,0,0,1
0,0,0,0.00,0.0,0.0,0,1.0,6.8,14.0,0,0,1
0,0,0,0.50,0.0,0.0,0,3.0,36.0,0.0,0,1,1
0,0,0,0.57,0.0,0.0,0,0.0,0.0,1.0,0,0,1
0,0,0,0.25,0.0,0.0,0,4.0,230.8,0.0,0,0,1
0,0,0,0.50,0.0,0.0,0,4.0,180.3,0.0,0,0,1
0,0,0,1.00,0.0,0.0,0,3.0,68.9,0.0,0,0,1
0,0,0,0.00,0.0,0.0,0,0.0,0.0,1.0,0,0,1
0,0,0,0.29,0.0,0.0,11,0.0,0.0,0.0,0,0,1
0,0,0,0.50,0.0,0.0,0,2.0,21.3,0.0,0,0,1
0,0,0,1.00,0.0,0.0,0,4.0,128.9,0.0,0,0,1
0,0,0,0.17,0.0,0.0,0,3.0,28.3,0.0,0,1,0
0,0,0,0.00,0.0,0.0,0,4.0,81.0,0.0,0,1,0
4,0,0,0.36,0.0,0.0,3,0.0,0.0,8.0,0,1,1
0,0,0,0.50,0.0,0.0,0,3.0,111.2,2.0,0,0,1
0,0,0,0.50,0.0,0.0,0,3.0,40.5,3.0,0,1,1
0,0,0,0.29,0.0,0.0,0,4.0,56.7,0.0,0,0,1
2,2,0,0.50,0.0,0.0,0,3.0,20.0,0.0,0,1,1
0,0,0,0.33,0.0,0.0,0,4.0,141.3,0.0,0,0,1
0,0,0,1.00,0.0,0.0,0,4.0,78.8,0.0,0,1,1
1,1,1,0.67,0.0,0.0,0,1.0,5.3,1.0,1,0,1
0,0,0,0.50,0.0,0.0,0,4.0,25.6,0.0,0,0,0
0,0,0,0.00,0.0,0.0,0,4.0,229.2,0.0,0,0,1
0,0,0,1.00,0.0,0.0,0,4.0,37.7,0.0,0,0,1
0,0,0,0.67,0.0,0.0,0,4.0,224.7,0.0,0,0,1
0,0,0,0.50,0.0,0.0,0,1.0,14.7,0.0,0,0,1
0,0,0,0.00,0.0,0.0,0,4.0,94.8,0.0,0,0,1
0,0,0,0.36,0.0,0.0,0,2.0,28.6,2.0,0,0,1
0,0,0,0.11,0.0,0.0,0,3.0,27.9,0.0,0,0,1
0,0,0,0.50,15.7,15.7,0,3.0,70.0,0.0,0,0,1
0,0,0,0.25,0.0,0.0,0,4.0,98.9,0.0,0,0,1
0,0,0,0.33,11.7,11.7,2,3.4,64.3,0.0,0,0,0
0,0,0,0.33,0.0,0.0,0,3.0,54.8,1.0,0,0,1
0,0,0,0.00,0.0,0.0,0,4.0,219.2,0.0,0,0,1
0,0,0,0.42,0.0,0.0,0,0.0,0.0,2.0,0,1,1
0,0,0,0.50,0.0,0.0,0,4.0,89.8,0.0,0,1,1
0,0,0,0.00,0.0,0.0,0,2.0,1.3,1.0,1,0,1
0,0,0,0.00,0.0,0.0,0,4.0,44.4,0.0,1,0,0
2,0,0,0.25,0.0,0.0,0,3.0,51.4,2.0,1,0,0
0,0,0,0.00,0.0,0.0,12,0.0,0.0,0.0,1,0,0
1,0,0,0.50,0.0,0.0,0,2.0,51.7,1.0,0,0,1
0,0,0,0.33,0.0,0.0,0,0.0,0.0,2.0,0,0,1
0,0,0,0.60,0.0,0.0,0,4.0,135.7,0.0,0,1,1
2,1,0,0.00,0.0,0.0,0,0.0,0.0,1.0,0,0,1
0,0,0,0.33,0.0,0.0,0,2.0,35.4,0.0,0,0,1
1,1,0,1.00,0.0,0.0,0,3.0,8.6,0.0,1,0,1
0,0,0,1.00,0.0,0.0,0,0.0,0.0,8.0,0,0,1
0,0,0,0.00,0.0,0.0,0,3.0,69.8,0.0,0,0,1
1,1,1,0.20,0.0,0.0,0,4.0,77.6,0.0,0,0,0
1,1,0,0.00,0.0,0.0,0,1.0,2.4,0.0,1,0,1
0,0,0,1.00,0.0,0.0,0,4.0,159.5,0.0,0,0,1
0,0,0,0.54,7.1,21.3,12,0.0,0.0,0.0,1,0,1
0,0,0,0.33,0.0,0.0,0,1.0,4.0,0.0,0,0,1
0,0,0,0.00,0.0,0.0,0,4.0,159.9,0.0,0,0,1
0,0,0,0.50,0.0,0.0,0,4.0,98.3,0.0,0,1,1
2,2,0,0.00,0.0,0.0,0,4.0,54.9,0.0,0,1,1
0,0,0,1.00,0.0,0.0,0,4.0,166.4,0.0,0,1,1
1,0,1,1.00,0.0,0.0,0,4.0,74.9,0.0,1,0,1
2,0,0,0.75,16.1,16.1,1,0.0,0.0,2.0,0,0,0
0,0,0,0.00,0.0,0.0,0,4.0,114.1,0.0,0,1,1
0,0,0,1.00,0.0,0.0,0,2.0,1.8,2.0,1,0,1
2,1,0,0.50,0.0,0.0,0,1.0,1.5,1.0,1,0,1
0,0,0,0.33,0.0,0.0,0,4.0,120.2,0.0,1,0,1
0,0,0,0.60,0.0,0.0,0,3.0,32.0,0.0,1,0,1
0,0,0,0.00,0.0,0.0,0,4.0,61.0,0.0,0,0,1
0,0,0,0.50,0.0,0.0,0,3.0,81.3,0.0,0,1,0
1,1,0,0.00,0.0,0.0,0,1.0,16.9,0.0,0,0,1
0,0,0,0.56,0.0,0.0,0,4.0,55.7,0.0,0,1,1
0,0,0,0.00,0.0,0.0,0,4.0,81.3,0.0,1,0,1
2,2,0,0.57,0.0,0.0,4,0.0,0.0,5.0,1,0,1
0,0,0,0.33,0.0,0.0,0,4.0,78.5,0.0,0,1,1
