year,fcode,employ,sales,avgsal,scrap,rework,tothrs,union,grant,d89,d88,totrain,hrsemp,lscrap,lemploy,lsales,lrework,lhrsemp,lscrap_1,grant_1,clscrap,cgrant,clemploy,clsales,lavgsal,clavgsal,cgrant_1,chrsemp,clhrsemp
1988,410500,155,19700000,14287,NA,NA,0,0,0,0,1,0,0.000000,NA,5.043425,16.79405,NA,0.000000,NA,0,NA,0,-0.254892,-0.188667,9.567105,0.039840,0,0.000000,0.000000
1989,410500,80,26000000,15758,NA,NA,24,0,0,1,0,20,6.000000,NA,4.382027,17.07330,NA,1.945910,NA,0,NA,0,-0.661398,0.279253,9.665104,0.097999,0,6.000000,1.945910
1987,410501,NA,6000000,NA,NA,NA,0,0,0,0,0,10,NA,NA,NA,15.60727,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA
1988,410501,NA,8000000,NA,NA,NA,0,0,0,0,1,20,NA,NA,NA,15.89495,NA,NA,NA,0,NA,0,NA,0.287682,NA,NA,0,NA,NA
1989,410501,NA,10000000,NA,NA,NA,0,0,0,1,0,25,NA,NA,NA,16.11810,NA,NA,NA,0,NA,0,NA,0.223144,NA,NA,0,NA,NA
1987,410509,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA
1988,410509,NA,2800000,18000,NA,NA,0,0,0,0,1,0,NA,NA,NA,14.84513,NA,NA,NA,0,NA,0,NA,NA,9.798127,NA,0,NA,NA
1989,410509,20,3400000,18500,NA,NA,0,0,0,1,0,0,0.000000,NA,2.995732,15.03929,NA,0.000000,NA,0,NA,0,NA,0.194156,9.825526,0.027399,0,NA,NA
1987,410513,15,1413900,18465,NA,NA,0,0,0,0,0,0,0.000000,NA,2.708050,14.16186,NA,0.000000,NA,0,NA,0,NA,NA,9.823632,NA,NA,NA,NA
1988,410513,16,1869348,18972,NA,NA,0,0,0,0,1,0,0.000000,NA,2.772589,14.44110,NA,0.000000,NA,0,NA,0,0.064538,0.279238,9.850719,0.027087,0,0.000000,0.000000
1989,410513,16,1857765,19589,NA,NA,20,0,0,1,0,16,20.000000,NA,2.772589,14.43489,NA,3.044523,NA,0,NA,0,0.000000,-0.006215,9.882724,0.032004,0,20.000000,3.044523
1987,410517,24,NA,13000,NA,NA,0,1,0,0,0,0,0.000000,NA,3.178054,NA,NA,0.000000,NA,0,NA,0,NA,NA,9.472705,NA,NA,NA,NA
1988,410517,20,NA,12168,NA,NA,0,1,0,0,1,0,0.000000,NA,2.995732,NA,NA,0.000000,NA,0,NA,0,-0.182321,NA,9.406565,-0.066140,0,0.000000,0.000000
1989,410517,18,NA,11960,NA,NA,0,1,0,1,0,0,0.000000,NA,2.890372,NA,NA,0.000000,NA,0,NA,0,-0.105360,NA,9.389323,-0.017241,0,0.000000,0.000000
1987,410518,48,2160900,14352,NA,NA,14,0,0,0,0,3,0.875000,NA,3.871201,14.58604,NA,0.628609,NA,0,NA,0,NA,NA,9.571645,NA,NA,NA,NA
1988,410518,47,2454500,16328,NA,NA,14,0,0,0,1,3,0.893617,NA,3.850147,14.71343,NA,0.638489,NA,0,NA,0,-0.021054,0.127397,9.700637,0.128992,0,0.018617,0.009880
1989,410518,66,3359800,17555,NA,NA,14,0,0,1,0,4,0.848485,NA,4.189655,15.02739,NA,0.614366,NA,0,NA,0,0.339507,0.313959,9.773094,0.072457,0,-0.045132,-0.024123
1987,410521,17,1453081,16454,NA,NA,150,0,0,0,0,5,44.117650,NA,2.833213,14.18920,NA,3.809273,NA,0,NA,0,NA,NA,9.708323,NA,NA,NA,NA
1988,410521,16,1546911,18529,NA,NA,100,0,0,0,1,3,18.750000,NA,2.772589,14.25177,NA,2.983154,NA,0,NA,0,-0.060625,0.062574,9.827092,0.118769,0,-25.367650,-0.826120
1989,410521,14,1672366,26428,NA,NA,0,0,0,1,0,0,0.000000,NA,2.639057,14.32975,NA,0.000000,NA,0,NA,0,-0.133531,0.077979,10.182180,0.355087,0,-18.750000,-2.983154
1987,410523,70,8000000,19760,0.06,NA,40,0,0,0,0,35,20.000000,-2.813411,4.248495,15.89495,NA,3.044523,NA,0,NA,0,NA,NA,9.891415,NA,NA,NA,NA
1988,410523,85,11000000,22360,0.05,NA,40,0,0,0,1,40,18.823530,-2.995732,4.442651,16.21341,NA,2.986870,-2.813411,0,-0.182321,0,0.194156,0.318454,10.015030,0.123614,0,-1.176470,-0.057653
1989,410523,98,15000000,23920,0.05,NA,60,0,0,1,0,40,24.489800,-2.995732,4.584968,16.52356,NA,3.238278,-2.995732,0,0.000000,0,0.142316,0.310156,10.082470,0.067441,0,5.666265,0.251409
1987,410529,45,1535242,20000,NA,NA,0,0,0,0,0,0,0.000000,NA,3.806663,14.24420,NA,0.000000,NA,0,NA,0,NA,NA,9.903487,NA,NA,NA,NA
1988,410529,47,3209188,22000,NA,NA,0,0,0,0,1,0,0.000000,NA,3.850147,14.98153,NA,0.000000,NA,0,NA,0,0.043485,0.737329,9.998797,0.095310,0,0.000000,0.000000
1989,410529,51,4030352,23650,NA,NA,2,0,0,1,0,2,0.078431,NA,3.931826,15.20936,NA,0.075508,NA,0,NA,0,0.081678,0.227836,10.071120,0.072321,0,0.078431,0.075508
1987,410531,200,10000000,17500,NA,5.00,0,1,0,0,0,0,0.000000,NA,5.298317,16.11810,1.609438,0.000000,NA,0,NA,0,NA,NA,9.769957,NA,NA,NA,NA
1988,410531,200,10000000,18700,NA,4.00,20,1,0,0,1,6,0.600000,NA,5.298317,16.11810,1.386294,0.470004,NA,0,NA,0,0.000000,0.000000,9.836279,0.066322,0,0.600000,0.470004
1989,410531,190,9000000,18300,NA,2.22,20,1,0,1,0,10,1.052632,NA,5.247024,16.01274,0.797507,0.719123,NA,0,NA,0,-0.051293,-0.105360,9.814656,-0.021623,0,0.452632,0.249119
1987,410533,14,1600000,11500,NA,NA,68,0,0,0,0,3,14.571430,NA,2.639057,14.28551,NA,2.745438,NA,0,NA,0,NA,NA,9.350102,NA,NA,NA,NA
1988,410533,12,900000,13000,NA,NA,75,0,0,0,1,5,31.250000,NA,2.484907,13.71015,NA,3.473518,NA,0,NA,0,-0.154151,-0.575364,9.472705,0.122603,0,16.678570,0.728081
1989,410533,16,1300000,14700,NA,NA,35,0,0,1,0,9,19.687500,NA,2.772589,14.07788,NA,3.029530,NA,0,NA,0,0.287682,0.367725,9.595603,0.122898,0,-11.562500,-0.443989
1987,410535,10,420664,4237,NA,NA,0,0,0,0,0,0,0.000000,NA,2.302585,12.94959,NA,0.000000,NA,0,NA,0,NA,NA,8.351611,NA,NA,NA,NA
1988,410535,11,544602,7484,NA,NA,0,0,0,0,1,0,0.000000,NA,2.397895,13.20781,NA,0.000000,NA,0,NA,0,0.095310,0.258221,8.920523,0.568912,0,0.000000,0.000000
1989,410535,9,495331,9548,NA,NA,0,0,0,1,0,0,0.000000,NA,2.197225,13.11298,NA,0.000000,NA,0,NA,0,-0.200671,-0.094829,9.164087,0.243565,0,0.000000,0.000000
1987,410536,15,1502502,11742,NA,NA,12,0,0,0,0,2,1.600000,NA,2.708050,14.22264,NA,0.955511,NA,0,NA,0,NA,NA,9.370928,NA,NA,NA,NA
1988,410536,16,1840912,12740,NA,NA,12,0,0,0,1,2,1.500000,NA,2.772589,14.42577,NA,0.916291,NA,0,NA,0,0.064538,0.203130,9.452502,0.081574,0,-0.100000,-0.039221
1989,410536,18,2273869,13700,NA,NA,8,0,0,1,0,3,1.333333,NA,2.890372,14.63699,NA,0.847298,NA,0,NA,0,0.117783,0.211222,9.525151,0.072649,0,-0.166667,-0.068993
1987,410538,NA,NA,19760,2.64,NA,0,1,0,0,0,0,NA,0.970779,NA,NA,NA,NA,NA,0,NA,0,NA,NA,9.891415,NA,NA,NA,NA
1988,410538,NA,6276271,20800,2.74,NA,0,1,0,0,1,0,NA,1.007958,NA,15.65229,NA,NA,0.970779,0,0.037179,0,NA,NA,9.942708,0.051293,0,NA,NA
1989,410538,60,5286605,20800,2.54,NA,30,1,0,1,0,50,25.000000,0.932164,4.094345,15.48069,NA,3.258096,1.007958,0,-0.075794,0,NA,-0.171599,9.942708,0.000000,0,NA,NA
1987,410540,50,5200000,20000,NA,NA,0,0,0,0,0,0,0.000000,NA,3.912023,15.46417,NA,0.000000,NA,0,NA,0,NA,NA,9.903487,NA,NA,NA,NA
1988,410540,50,6500000,23000,NA,NA,0,0,0,0,1,0,0.000000,NA,3.912023,15.68731,NA,0.000000,NA,0,NA,0,0.000000,0.223144,10.043250,0.139762,0,0.000000,0.000000
1989,410540,55,5600000,25000,NA,NA,0,0,0,1,0,0,0.000000,NA,4.007333,15.53828,NA,0.000000,NA,0,NA,0,0.095310,-0.149035,10.126630,0.083382,0,0.000000,0.000000
1987,410544,30,NA,19760,NA,NA,0,0,0,0,0,0,0.000000,NA,3.401197,NA,NA,0.000000,NA,0,NA,0,NA,NA,9.891415,NA,NA,NA,NA
1988,410544,32,NA,20280,NA,NA,10,0,0,0,1,4,1.250000,NA,3.465736,NA,NA,0.810930,NA,0,NA,0,0.064538,NA,9.917391,0.025976,0,1.250000,0.810930
1989,410544,34,NA,20800,NA,NA,10,0,0,1,0,6,1.764706,NA,3.526361,NA,NA,1.016934,NA,0,NA,0,0.060625,NA,9.942708,0.025317,0,0.514706,0.206004
1987,410546,153,10000000,12500,NA,NA,8,0,0,0,0,7,0.366013,NA,5.030438,16.11810,NA,0.311896,NA,0,NA,0,NA,NA,9.433484,NA,NA,NA,NA
1988,410546,134,11000000,13000,NA,NA,8,0,0,0,1,6,0.358209,NA,4.897840,16.21341,NA,0.306167,NA,0,NA,0,-0.132598,0.095310,9.472705,0.039221,0,-0.007804,-0.005729
1989,410546,146,12000000,13500,NA,NA,40,0,0,1,0,28,7.671233,NA,4.983607,16.30042,NA,2.160011,NA,0,NA,0,0.085767,0.087011,9.510445,0.037740,0,7.313024,1.853844
1987,410547,20,2300000,20000,NA,10.00,0,0,0,0,0,0,0.000000,NA,2.995732,14.64842,2.302585,0.000000,NA,0,NA,0,NA,NA,9.903487,NA,NA,NA,NA
1988,410547,23,2500000,23000,NA,10.00,0,0,0,0,1,0,0.000000,NA,3.135494,14.73180,2.302585,0.000000,NA,0,NA,0,0.139762,0.083382,10.043250,0.139762,0,0.000000,0.000000
1989,410547,25,3000000,25000,NA,10.00,48,0,0,1,0,1,1.920000,NA,3.218876,14.91412,2.302585,1.071584,NA,0,NA,0,0.083382,0.182321,10.126630,0.083382,0,1.920000,1.071584
1987,410556,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA
1988,410556,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,NA
1989,410556,131,7588770,16640,NA,NA,0,0,0,1,0,0,0.000000,NA,4.875197,15.84218,NA,0.000000,NA,0,NA,0,NA,NA,9.719564,NA,0,NA,NA
1987,410560,22,725000,9000,NA,NA,0,0,0,0,0,0,0.000000,NA,3.091043,13.49393,NA,0.000000,NA,0,NA,0,NA,NA,9.104980,NA,NA,NA,NA
1988,410560,25,785000,9000,NA,NA,0,0,0,0,1,0,0.000000,NA,3.218876,13.57344,NA,0.000000,NA,0,NA,0,0.127833,0.079512,9.104980,0.000000,0,0.000000,0.000000
1989,410560,23,785000,10000,NA,NA,0,0,0,1,0,0,0.000000,NA,3.135494,13.57344,NA,0.000000,NA,0,NA,0,-0.083382,0.000000,9.210340,0.105361,0,0.000000,0.000000
1987,410561,6,501859,NA,NA,NA,0,0,0,0,0,0,0.000000,NA,1.791759,13.12607,NA,0.000000,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA
1988,410561,6,580415,NA,NA,NA,0,0,0,0,1,0,0.000000,NA,1.791759,13.27150,NA,0.000000,NA,0,NA,0,0.000000,0.145424,NA,NA,0,0.000000,0.000000
1989,410561,9,735442,NA,NA,NA,64,0,0,1,0,1,7.111111,NA,2.197225,13.50823,NA,2.093235,NA,0,NA,0,0.405465,0.236729,NA,NA,0,7.111111,2.093235
1987,410562,15,4000000,32000,NA,NA,10,0,0,0,0,2,1.333333,NA,2.708050,15.20181,NA,0.847298,NA,0,NA,0,NA,NA,10.373490,NA,NA,NA,NA
1988,410562,18,5000000,34000,NA,NA,10,0,0,0,1,2,1.111111,NA,2.890372,15.42495,NA,0.747214,NA,0,NA,0,0.182321,0.223144,10.434120,0.060624,0,-0.222222,-0.100084
1989,410562,19,7000000,38000,NA,NA,25,0,0,1,0,6,7.894737,NA,2.944439,15.76142,NA,2.185460,NA,0,NA,0,0.054067,0.336472,10.545340,0.111226,0,6.783626,1.438245
1987,410563,73,5300000,21500,6.00,NA,0,1,0,0,0,0,0.000000,1.791759,4.290460,15.48322,NA,0.000000,NA,0,NA,0,NA,NA,9.975808,NA,NA,NA,NA
1988,410563,76,5800000,22200,7.00,NA,0,1,0,0,1,0,0.000000,1.945910,4.330733,15.57337,NA,0.000000,1.791759,0,0.154151,0,0.040274,0.090151,10.007850,0.032040,0,0.000000,0.000000
1989,410563,80,6400000,23000,5.00,NA,50,1,0,1,0,8,5.000000,1.609438,4.382027,15.67181,NA,1.791759,1.945910,0,-0.336472,0,0.051293,0.098440,10.043250,0.035401,0,5.000000,1.791759
1987,410564,160,NA,20000,NA,4.30,20,0,0,0,0,15,1.875000,NA,5.075174,NA,1.458615,1.056053,NA,0,NA,0,NA,NA,9.903487,NA,NA,NA,NA
1988,410564,150,NA,21000,NA,4.10,20,0,0,0,1,20,2.666667,NA,5.010635,NA,1.410987,1.299283,NA,0,NA,0,-0.064538,NA,9.952278,0.048791,0,0.791667,0.243230
1989,410564,150,NA,22000,NA,4.00,25,0,0,1,0,35,5.833333,NA,5.010635,NA,1.386294,1.921813,NA,0,NA,0,0.000000,NA,9.998797,0.046519,0,3.166667,0.622530
1987,410565,90,NA,20620,21.00,NA,0,1,0,0,0,0,0.000000,3.044523,4.499810,NA,NA,0.000000,NA,0,NA,0,NA,NA,9.934017,NA,NA,NA,NA
1988,410565,112,21800000,20180,11.00,NA,0,1,0,0,1,0,0.000000,2.397895,4.718499,16.89650,NA,0.000000,3.044523,0,-0.646627,0,0.218689,NA,9.912447,-0.021570,0,0.000000,0.000000
1989,410565,128,25800000,21500,0.40,NA,16,1,0,1,0,128,16.000000,-0.916291,4.852030,17.06701,NA,2.833213,2.397895,0,-3.314186,0,0.133532,0.170506,9.975808,0.063361,0,16.000000,2.833213
1987,410566,14,2101581,14850,7.00,NA,8,0,0,0,0,12,6.857143,1.945910,2.639057,14.55820,NA,2.061423,NA,0,NA,0,NA,NA,9.605755,NA,NA,NA,NA
1988,410566,16,2400723,18100,5.00,NA,3,0,0,0,1,10,1.875000,1.609438,2.772589,14.69128,NA,1.056053,1.945910,0,-0.336472,0,0.133531,0.133079,9.803667,0.197912,0,-4.982143,-1.005370
1989,410566,13,2470633,20500,4.50,NA,4,0,0,1,0,10,3.076923,1.504077,2.564949,14.71999,NA,1.405343,1.609438,0,-0.105360,0,-0.207640,0.028705,9.928180,0.124513,0,1.201923,0.349290
1987,410567,40,3000000,10000,1.00,0.50,0,0,0,0,0,0,0.000000,0.000000,3.688879,14.91412,-0.693147,0.000000,NA,0,NA,0,NA,NA,9.210340,NA,NA,NA,NA
1988,410567,48,3800000,11000,0.50,0.25,0,0,0,0,1,0,0.000000,-0.693147,3.871201,15.15051,-1.386294,0.000000,0.000000,0,-0.693147,0,0.182321,0.236389,9.305651,0.095310,0,0.000000,0.000000
1989,410567,50,3100000,11500,0.28,0.13,16,0,0,1,0,50,16.000000,-1.272966,3.912023,14.94691,-2.040221,2.833213,-0.693147,0,-0.579819,0,0.040822,-0.203599,9.350102,0.044452,0,16.000000,2.833213
1987,410569,20,NA,26000,NA,NA,0,0,0,0,0,0,0.000000,NA,2.995732,NA,NA,0.000000,NA,0,NA,0,NA,NA,10.165850,NA,NA,NA,NA
1988,410569,24,NA,28000,NA,NA,0,0,0,0,1,0,0.000000,NA,3.178054,NA,NA,0.000000,NA,0,NA,0,0.182321,NA,10.239960,0.074108,0,0.000000,0.000000
1989,410569,30,NA,30000,NA,NA,0,0,0,1,0,0,0.000000,NA,3.401197,NA,NA,0.000000,NA,0,NA,0,0.223144,NA,10.308950,0.068993,0,0.000000,0.000000
1987,410571,17,755050,10400,NA,0.01,25,0,0,0,0,17,25.000000,NA,2.833213,13.53454,-4.605170,3.258096,NA,0,NA,0,NA,NA,9.249561,NA,NA,NA,NA
1988,410571,15,1102723,10400,NA,0.01,25,0,0,0,1,15,25.000000,NA,2.708050,13.91329,-4.605170,3.258096,NA,0,NA,0,-0.125163,0.378754,9.249561,0.000000,0,0.000000,0.000000
1989,410571,20,1073785,10400,NA,0.01,25,0,0,1,0,10,12.500000,NA,2.995732,13.88670,-4.605170,2.602690,NA,0,NA,0,0.287682,-0.026592,9.249561,0.000000,0,-12.500000,-0.655407
1987,410577,75,4750000,16120,1.68,1.89,3,0,0,0,0,30,1.200000,0.518794,4.317488,15.37366,0.636577,0.788457,NA,0,NA,0,NA,NA,9.687816,NA,NA,NA,NA
1988,410577,80,5100000,16432,1.57,1.76,4,0,0,0,1,35,1.750000,0.451076,4.382027,15.44475,0.565314,1.011601,0.518794,0,-0.067718,0,0.064538,0.071096,9.706985,0.019170,0,0.550000,0.223144
1989,410577,94,5500000,16640,1.64,1.82,4,0,0,1,0,35,1.489362,0.494696,4.543295,15.52026,0.598836,0.912026,0.451076,0,0.043621,0,0.161268,0.075508,9.719564,0.012579,0,-0.260638,-0.099575
1987,410586,116,11000000,23500,NA,NA,47,0,0,0,0,96,38.896550,NA,4.753590,16.21341,NA,3.686290,NA,0,NA,0,NA,NA,10.064760,NA,NA,NA,NA
1988,410586,114,11000000,24000,NA,NA,47,0,0,0,1,94,38.754390,NA,4.736198,16.21341,NA,3.682720,NA,0,NA,0,-0.017392,0.000000,10.085810,0.021053,0,-0.142166,-0.003570
1989,410586,119,11000000,24600,NA,NA,47,0,0,1,0,99,39.100840,NA,4.779123,16.21341,NA,3.691397,NA,0,NA,0,0.042925,0.000000,10.110500,0.024692,0,0.346455,0.008677
1987,410591,25,NA,12180,NA,NA,0,0,0,0,0,0,0.000000,NA,3.218876,NA,NA,0.000000,NA,0,NA,0,NA,NA,9.407551,NA,NA,NA,NA
1988,410591,33,NA,13000,NA,NA,50,0,0,0,1,1,1.515152,NA,3.496508,NA,NA,0.922333,NA,0,NA,0,0.277632,NA,9.472705,0.065154,0,1.515152,0.922333
1989,410591,37,NA,14500,NA,NA,40,0,0,1,0,2,2.162162,NA,3.610918,NA,NA,1.151256,NA,0,NA,0,0.114410,NA,9.581903,0.109199,0,0.647011,0.228923
1987,410592,20,NA,NA,30.00,40.00,NA,0,0,0,0,20,NA,3.401197,2.995732,NA,3.688879,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA
1988,410592,20,NA,NA,24.00,27.00,NA,0,0,0,1,20,NA,3.178054,2.995732,NA,3.295837,NA,3.401197,0,-0.223144,0,0.000000,NA,NA,NA,0,NA,NA
1989,410592,10,NA,NA,20.00,15.00,NA,0,0,1,0,10,NA,2.995732,2.302585,NA,2.708050,NA,3.178054,0,-0.182321,0,-0.693147,NA,NA,NA,0,NA,NA
1987,410593,5,3500000,NA,1.00,NA,0,0,0,0,0,0,0.000000,0.000000,1.609438,15.06827,NA,0.000000,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA
1988,410593,5,3800000,NA,1.00,NA,0,0,0,0,1,0,0.000000,0.000000,1.609438,15.15051,NA,0.000000,0.000000,0,0.000000,0,0.000000,0.082238,NA,NA,0,0.000000,0.000000
1989,410593,5,4000000,NA,1.00,NA,0,0,0,1,0,0,0.000000,0.000000,1.609438,15.20181,NA,0.000000,0.000000,0,0.000000,0,0.000000,0.051293,NA,NA,0,0.000000,0.000000
1987,410596,8,990400,12480,10.00,NA,10,0,0,0,0,8,10.000000,2.302585,2.079442,13.80586,NA,2.397895,NA,0,NA,0,NA,NA,9.431883,NA,NA,NA,NA
1988,410596,16,1166100,13520,6.00,NA,12,0,0,0,1,16,12.000000,1.791759,2.772589,13.96918,NA,2.564949,2.302585,0,-0.510826,0,0.693147,0.163311,9.511926,0.080043,0,2.000000,0.167054
1989,410596,20,1815900,14560,4.00,NA,14,0,0,1,0,20,14.000000,1.386294,2.995732,14.41209,NA,2.708050,1.791759,0,-0.405465,0,0.223144,0.442917,9.586033,0.074107,0,2.000000,0.143101
1987,410603,10,1212478,12700,NA,NA,105,0,0,0,0,4,42.000000,NA,2.302585,14.00818,NA,3.761200,NA,0,NA,0,NA,NA,9.449357,NA,NA,NA,NA
1988,410603,14,1159622,13600,NA,NA,105,0,0,0,1,3,22.500000,NA,2.639057,13.96360,NA,3.157000,NA,0,NA,0,0.336472,-0.044572,9.517825,0.068468,0,-19.500000,-0.604200
1989,410603,17,1612170,14900,NA,NA,NA,0,0,1,0,0,NA,NA,2.833213,14.29309,NA,NA,NA,0,NA,0,0.194156,0.329487,9.609117,0.091291,0,NA,NA
1987,410604,60,NA,8320,NA,NA,0,0,0,0,0,0,0.000000,NA,4.094345,NA,NA,0.000000,NA,0,NA,0,NA,NA,9.026418,NA,NA,NA,NA
1988,410604,100,NA,8940,NA,NA,0,0,0,0,1,0,0.000000,NA,4.605170,NA,NA,0.000000,NA,0,NA,0,0.510826,NA,9.098290,0.071873,0,0.000000,0.000000
1989,410604,190,NA,10400,NA,NA,0,0,0,1,0,0,0.000000,NA,5.247024,NA,NA,0.000000,NA,0,NA,0,0.641854,NA,9.249561,0.151271,0,0.000000,0.000000
1987,410606,124,10500000,NA,0.66,NA,10,0,0,0,0,43,3.467742,-0.415515,4.820282,16.16755,NA,1.496883,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA
1988,410606,127,12200000,14538,0.34,NA,8,0,0,0,1,30,1.889764,-1.078810,4.844187,16.31472,NA,1.061175,-0.415515,0,-0.663294,0,0.023906,0.147165,9.584521,NA,0,-1.577978,-0.435708
1989,410606,128,12000000,14865,0.39,NA,28,0,0,1,0,87,19.031250,-0.941608,4.852030,16.30371,NA,2.997293,-1.078810,0,0.137201,0,0.007843,-0.011011,9.606765,0.022243,0,17.141490,1.936119
1987,410609,22,1650831,24900,NA,NA,0,0,0,0,0,0,0.000000,NA,3.091043,14.31679,NA,0.000000,NA,0,NA,0,NA,NA,10.122620,NA,NA,NA,NA
1988,410609,37,1817961,23000,NA,NA,0,0,0,0,1,0,0.000000,NA,3.610918,14.41323,NA,0.000000,NA,0,NA,0,0.519875,0.096436,10.043250,-0.079374,0,0.000000,0.000000
1989,410609,44,1642441,23200,NA,NA,0,0,0,1,0,0,0.000000,NA,3.784190,14.31169,NA,0.000000,NA,0,NA,0,0.173272,-0.101532,10.051910,0.008658,0,0.000000,0.000000
1987,410612,60,7000000,8840,NA,NA,12,0,0,0,0,60,12.000000,NA,4.094345,15.76142,NA,2.564949,NA,0,NA,0,NA,NA,9.087042,NA,NA,NA,NA
1988,410612,65,8500000,9880,NA,NA,12,0,0,0,1,65,12.000000,NA,4.174387,15.95558,NA,2.564949,NA,0,NA,0,0.080043,0.194157,9.198268,0.111226,0,0.000000,0.000000
1989,410612,70,11000000,10920,NA,NA,12,0,0,1,0,70,12.000000,NA,4.248495,16.21341,NA,2.564949,NA,0,NA,0,0.074108,0.257829,9.298351,0.100083,0,0.000000,0.000000
1987,410626,27,4600000,18000,0.87,NA,24,1,0,0,0,3,2.666667,-0.139262,3.295837,15.34157,NA,1.299283,NA,0,NA,0,NA,NA,9.798127,NA,NA,NA,NA
1988,410626,28,4900000,19000,0.82,NA,16,1,0,0,1,2,1.142857,-0.198451,3.332205,15.40475,NA,0.762140,-0.139262,0,-0.059189,0,0.036368,0.063179,9.852194,0.054067,0,-1.523810,-0.537143
1989,410626,30,5600000,21000,0.71,NA,32,1,0,1,0,6,6.400000,-0.342490,3.401197,15.53828,NA,2.001480,-0.198451,0,-0.144039,0,0.068993,0.133532,9.952278,0.100084,0,5.257143,1.239340
1987,410627,25,2900000,21830,NA,NA,NA,1,0,0,0,25,NA,NA,3.218876,14.88022,NA,NA,NA,0,NA,0,NA,NA,9.991040,NA,NA,NA,NA
1988,410627,25,2800000,22454,NA,NA,NA,1,0,0,1,25,NA,NA,3.218876,14.84513,NA,NA,NA,0,NA,0,0.000000,-0.035091,10.019220,0.028184,0,NA,NA
1989,410627,25,2900000,23078,NA,NA,NA,1,0,1,0,25,NA,NA,3.218876,14.88022,NA,NA,NA,0,NA,0,0.000000,0.035091,10.046630,0.027411,0,NA,NA
1987,410629,16,1100000,18500,1.20,0.58,NA,0,0,0,0,16,NA,0.182322,2.772589,13.91082,-0.544727,NA,NA,0,NA,0,NA,NA,9.825526,NA,NA,NA,NA
1988,410629,19,2050000,21000,0.53,0.25,NA,0,0,0,1,19,NA,-0.634878,2.944439,14.53335,-1.386294,NA,0.182322,0,-0.817200,0,0.171850,0.622529,9.952278,0.126752,0,NA,NA
1989,410629,23,2260000,23500,0.49,0.36,NA,0,0,1,0,23,NA,-0.713350,3.135494,14.63088,-1.021651,NA,-0.634878,0,-0.078471,0,0.191055,0.097526,10.064760,0.112477,0,NA,NA
1987,410635,100,20000000,22000,NA,NA,0,1,0,0,0,0,0.000000,NA,4.605170,16.81124,NA,0.000000,NA,0,NA,0,NA,NA,9.998797,NA,NA,NA,NA
